area_id,area_name,b10001001,b10001001_moe,b10001002,b10001002_moe,b10001003,b10001003_moe,b10001004,b10001004_moe
1,Southwest,178,107,87,89,51,57,40,57
2,Delridge Neighborhoods,299,138,90,67,105,77,104,92
3,Greater Duwamish,771,215,363,154,197,89,211,109
4,Southeast,815,310,212,118,295,174,308,148
5,Central,93,95,69,92,16,40,8,34
6,East,232,227,22,58,53,65,157,185
7,Northeast,170,111,14,61,146,106,10,60
8,North,175,94,70,76,97,69,8,42
9,Northwest,377,170,244,148,88,78,45,61
10,Ballard,142,86,56,71,60,58,26,47
11,Lake Union,32,54,0,42,12,44,20,44
12,Magnolia/Queen Anne,37,65,0,51,25,63,12,53
13,Downtown,16,33,7,29,9,31,0,29
