area_id,area_name,b10051i001,b10051i001_moe,b10051i002,b10051i002_moe,b10051i003,b10051i003_moe,b10051i004,b10051i004_moe,b10051i005,b10051i005_moe,b10051i006,b10051i006_moe,b10051i007,b10051i007_moe
1,Southwest,23,59,0,48,0,48,0,48,23,59,23,59,0,48
2,Delridge Neighborhoods,4,53,4,53,4,53,0,38,0,38,0,38,0,38
3,Greater Duwamish,39,62,19,52,0,45,19,52,20,57,0,45,20,57
4,Southeast,45,75,7,49,0,45,7,49,38,73,0,45,38,73
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,99,118,0,43,0,43,0,43,99,118,99,118,0,43
9,Northwest,45,80,0,54,0,54,0,54,45,80,0,54,45,80
10,Ballard,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,7,50,0,51,0,51,0,51,7,50,0,51,7,50
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29
