area_id,area_name,b11002001,b11002001_moe,b11002002,b11002002_moe,b11002003,b11002003_moe,b11002004,b11002004_moe,b11002005,b11002005_moe,b11002006,b11002006_moe,b11002007,b11002007_moe,b11002008,b11002008_moe,b11002009,b11002009_moe,b11002010,b11002010_moe,b11002011,b11002011_moe,b11002012,b11002012_moe
1,Southwest,48553,1055,33519,1280,27834,1275,27521,1239,313,148,1263,430,1122,393,141,81,4422,798,3891,684,531,186,15034,900
2,Delridge Neighborhoods,34236,1048,24985,1257,16860,1313,16519,1282,341,202,2159,558,1960,521,199,103,5966,886,5613,829,353,136,9251,714
3,Greater Duwamish,46112,1746,37512,1912,25522,1899,25018,1846,504,224,3716,872,3380,790,336,150,8274,1449,7763,1382,511,240,8600,787
4,Southeast,45210,1447,36059,1689,23755,1700,23271,1665,484,205,2874,735,2667,690,207,120,9430,1479,8786,1376,644,245,9151,800
5,Central,28838,986,17210,1121,12689,1012,12475,995,214,140,930,344,763,277,167,134,3591,843,3434,816,157,101,11628,811
6,East,47343,1108,18110,1232,14948,1178,14733,1161,215,116,954,320,840,294,114,74,2208,583,2109,555,99,91,29233,1030
7,Northeast,69809,1650,43522,1341,36411,1279,36079,1251,332,156,2223,587,1884,473,339,197,4888,777,4270,662,618,203,26287,1603
8,North,39656,1083,26747,1317,19638,1178,19309,1145,329,142,2242,615,1952,527,290,134,4867,930,4522,874,345,156,12909,764
9,Northwest,68886,1456,43703,1636,36307,1663,35904,1647,403,149,1694,440,1547,411,147,84,5702,793,5262,737,440,136,25183,1238
10,Ballard,44165,1013,29442,1177,24347,1215,24187,1201,160,118,1718,597,1431,487,287,156,3377,624,2980,560,397,164,14723,905
11,Lake Union,43410,1313,17739,1184,14195,1015,14024,1005,171,101,1568,610,1275,468,293,191,1976,485,1724,409,252,131,25671,1247
12,Magnolia/Queen Anne,57055,1334,33486,1408,30221,1430,30045,1426,176,127,829,321,740,265,89,108,2436,540,2330,517,106,67,23569,1263
13,Downtown,16017,831,5768,868,4589,656,4575,655,14,33,537,507,457,463,80,119,642,319,628,314,14,33,10249,516
