area_id,area_name,b11002i001,b11002i001_moe,b11002i002,b11002i002_moe,b11002i003,b11002i003_moe,b11002i004,b11002i004_moe,b11002i005,b11002i005_moe,b11002i006,b11002i006_moe,b11002i007,b11002i007_moe,b11002i008,b11002i008_moe,b11002i009,b11002i009_moe,b11002i010,b11002i010_moe,b11002i011,b11002i011_moe,b11002i012,b11002i012_moe
1,Southwest,1674,499,1197,464,777,335,752,318,25,61,217,278,203,273,14,50,203,163,189,154,14,51,477,191
2,Delridge Neighborhoods,4201,771,3402,748,2113,692,2113,692,0,38,746,379,657,345,89,83,543,343,543,343,0,38,799,276
3,Greater Duwamish,4198,929,3612,892,1445,731,1269,611,176,167,787,484,689,416,98,89,1380,554,1231,509,149,144,586,351
4,Southeast,3294,890,2690,873,945,498,945,498,0,45,493,429,493,429,0,45,1252,664,1201,650,51,76,604,289
5,Central,1407,437,744,353,651,338,651,338,0,34,18,48,18,48,0,34,75,98,59,81,16,41,663,247
6,East,2568,634,1108,536,915,506,895,502,20,55,105,117,105,117,0,47,88,160,88,160,0,47,1460,385
7,Northeast,2096,557,1079,357,967,348,888,321,79,95,21,66,21,66,0,59,91,90,80,83,11,60,1017,430
8,North,3030,691,2542,678,1412,418,1405,416,7,44,487,384,423,324,64,75,643,438,569,410,74,82,488,207
9,Northwest,4001,858,2728,785,1995,678,1963,669,32,62,54,105,54,105,0,54,679,375,630,340,49,76,1273,344
10,Ballard,1757,496,955,411,785,376,785,376,0,43,140,161,97,116,43,61,30,63,30,63,0,43,802,289
11,Lake Union,1582,370,535,273,333,190,333,190,0,42,144,189,144,189,0,42,58,77,58,77,0,42,1047,266
12,Magnolia/Queen Anne,1766,442,796,328,666,309,666,309,0,51,96,104,82,92,14,53,34,76,24,64,10,51,970,310
13,Downtown,550,228,50,73,50,73,50,73,0,29,0,29,0,29,0,29,0,29,0,29,0,29,500,218
