area_id,area_name,b11013001,b11013001_moe,b11013002,b11013002_moe,b11013003,b11013003_moe,b11013004,b11013004_moe,b11013005,b11013005_moe,b11013006,b11013006_moe
1,Southwest,209,93,59,65,18,53,41,59,118,78,32,52
2,Delridge Neighborhoods,407,144,178,91,76,68,102,63,218,111,11,40
3,Greater Duwamish,852,181,572,148,150,78,422,135,148,80,132,88
4,Southeast,716,171,302,119,69,60,233,108,280,113,134,103
5,Central,78,72,14,38,0,34,14,38,25,43,39,64
6,East,35,61,12,49,0,47,12,49,23,59,0,47
7,Northeast,192,96,155,88,8,59,147,88,0,59,37,69
8,North,330,135,54,50,24,47,30,45,196,113,80,74
9,Northwest,337,115,94,73,39,59,55,64,176,109,67,65
10,Ballard,97,65,71,58,48,55,23,47,15,47,11,45
11,Lake Union,26,44,14,42,0,42,14,42,0,42,12,43
12,Magnolia/Queen Anne,86,81,86,81,12,52,74,79,0,51,0,51
13,Downtown,15,33,0,29,0,29,0,29,0,29,15,33
