area_id,area_name,b12002a001,b12002a001_moe,b12002a002,b12002a002_moe,b12002a003,b12002a003_moe,b12002a004,b12002a004_moe,b12002a005,b12002a005_moe,b12002a006,b12002a006_moe,b12002a007,b12002a007_moe,b12002a008,b12002a008_moe,b12002a009,b12002a009_moe,b12002a010,b12002a010_moe,b12002a011,b12002a011_moe,b12002a012,b12002a012_moe,b12002a013,b12002a013_moe
1,Southwest,36855,907,17411,644,5636,577,9351,461,148,84,426,125,1850,291,19444,645,5503,532,9228,476,60,56,1587,255,3066,357
2,Delridge Neighborhoods,18193,909,9324,616,3786,507,3872,390,60,67,172,93,1434,270,8869,560,3058,419,3552,350,105,66,704,152,1450,264
3,Greater Duwamish,11947,843,6670,635,3123,462,2506,357,108,69,157,85,776,184,5277,438,1855,302,2245,276,145,87,329,118,703,193
4,Southeast,15787,946,7444,616,2405,506,3754,336,17,46,272,105,996,230,8343,570,2742,401,3615,325,72,66,691,196,1223,237
5,Central,15779,697,7558,488,3530,464,3169,283,80,70,118,75,661,164,8221,490,3551,415,3129,280,95,66,302,122,1144,230
6,East,37067,1203,19099,914,11685,863,5329,473,222,117,201,86,1662,302,17968,844,9686,713,4916,449,151,104,972,214,2243,368
7,Northeast,53773,1602,26414,1177,13197,1136,10997,438,235,133,363,115,1622,265,27359,1002,12630,935,10642,430,205,100,1359,296,2523,304
8,North,25030,807,12270,544,4998,495,5595,359,30,48,351,140,1296,232,12760,564,4089,434,5433,368,152,88,1184,238,1902,282
9,Northwest,47776,1173,23542,839,9177,744,11152,559,209,99,568,153,2436,334,24234,788,7654,631,10481,527,277,124,2202,314,3620,407
10,Ballard,33984,876,17075,655,6636,626,8376,440,230,130,274,114,1559,280,16909,632,5325,551,7905,412,184,109,1101,222,2394,315
11,Lake Union,32468,1154,17093,832,9733,793,5054,398,198,116,117,67,1991,303,15375,851,8215,763,4732,362,81,56,562,138,1785,305
12,Magnolia/Queen Anne,44136,1190,21416,932,8798,826,10339,523,190,92,172,83,1917,301,22720,911,8967,845,9738,506,140,84,1441,228,2434,312
13,Downtown,10276,616,6218,507,3603,463,1398,257,95,64,132,78,990,220,4058,407,1946,331,1269,233,61,69,156,85,626,161
