area_id,area_name,b12002f001,b12002f001_moe,b12002f002,b12002f002_moe,b12002f003,b12002f003_moe,b12002f004,b12002f004_moe,b12002f005,b12002f005_moe,b12002f006,b12002f006_moe,b12002f007,b12002f007_moe,b12002f008,b12002f008_moe,b12002f009,b12002f009_moe,b12002f010,b12002f010_moe,b12002f011,b12002f011_moe,b12002f012,b12002f012_moe,b12002f013,b12002f013_moe
1,Southwest,254,151,145,92,47,49,65,59,0,48,0,48,33,69,109,110,76,98,33,54,0,48,0,48,0,48
2,Delridge Neighborhoods,734,325,474,248,243,189,187,131,21,47,0,38,23,45,260,134,81,75,156,113,0,38,0,38,23,46
3,Greater Duwamish,622,342,455,285,257,238,110,86,19,57,21,54,48,57,167,114,100,82,48,57,0,45,9,54,10,47
4,Southeast,513,322,305,240,209,171,96,87,0,45,0,45,0,45,208,119,33,58,84,82,0,45,31,60,60,70
5,Central,275,151,156,109,73,83,67,58,0,34,0,34,16,41,119,73,63,50,56,54,0,34,0,34,0,34
6,East,631,188,422,157,291,111,123,110,8,48,0,47,0,47,209,115,104,77,91,94,0,47,0,47,14,47
7,Northeast,751,308,321,159,197,129,44,64,5,58,0,59,75,104,430,267,317,255,55,65,0,59,0,59,58,95
8,North,1092,418,759,347,311,175,355,184,40,75,15,46,38,49,333,147,102,101,231,118,0,43,0,43,0,43
9,Northwest,1176,360,627,243,329,179,262,155,0,54,0,54,36,61,549,180,251,119,180,107,12,56,44,67,62,69
10,Ballard,339,176,132,91,56,67,76,75,0,43,0,43,0,43,207,112,142,96,46,67,0,43,0,43,19,49
11,Lake Union,503,210,307,171,254,157,53,77,0,42,0,42,0,42,196,116,107,85,47,56,0,42,0,42,42,66
12,Magnolia/Queen Anne,542,197,219,129,129,84,77,107,0,51,0,51,13,54,323,136,261,132,52,69,0,51,0,51,10,51
13,Downtown,393,163,178,108,116,86,62,65,0,29,0,29,0,29,215,133,109,79,106,110,0,29,0,29,0,29
