area_id,area_name,b14004001,b14004001_moe,b14004002,b14004002_moe,b14004003,b14004003_moe,b14004004,b14004004_moe,b14004005,b14004005_moe,b14004006,b14004006_moe,b14004007,b14004007_moe,b14004008,b14004008_moe,b14004009,b14004009_moe,b14004010,b14004010_moe,b14004011,b14004011_moe,b14004012,b14004012_moe,b14004013,b14004013_moe,b14004014,b14004014_moe,b14004015,b14004015_moe,b14004016,b14004016_moe,b14004017,b14004017_moe,b14004018,b14004018_moe,b14004019,b14004019_moe,b14004020,b14004020_moe,b14004021,b14004021_moe,b14004022,b14004022_moe,b14004023,b14004023_moe,b14004024,b14004024_moe,b14004025,b14004025_moe,b14004026,b14004026_moe,b14004027,b14004027_moe,b14004028,b14004028_moe,b14004029,b14004029_moe,b14004030,b14004030_moe,b14004031,b14004031_moe,b14004032,b14004032_moe,b14004033,b14004033_moe
1,Southwest,41585,892,19426,658,682,182,0,48,192,88,279,133,211,97,251,110,0,48,55,61,120,95,76,63,18493,638,780,183,415,124,3297,397,14001,555,22159,660,1074,230,16,51,311,108,458,165,289,115,579,186,0,48,95,101,336,151,148,79,20506,632,503,144,671,208,3396,378,15936,564
2,Delridge Neighborhoods,28536,867,14002,635,831,217,16,42,435,160,262,119,118,77,129,70,0,38,9,41,62,53,58,55,13042,628,637,181,1051,279,3064,420,8290,473,14534,615,983,234,0,38,360,150,389,140,234,114,236,111,0,38,83,61,22,44,131,92,13315,613,537,183,656,217,3160,404,8962,443
3,Greater Duwamish,37863,1305,19474,994,1282,260,16,50,734,217,411,145,121,69,408,156,0,45,147,100,156,103,105,86,17784,958,789,197,1378,265,3399,476,12218,781,18389,742,1449,270,8,46,780,206,454,152,207,110,234,88,0,45,99,76,109,65,26,51,16706,696,646,196,929,220,3448,380,11683,571
4,Southeast,37389,1196,17754,873,915,248,0,45,466,176,202,129,247,126,292,165,0,45,134,131,17,47,141,106,16547,802,903,239,897,260,2381,418,12366,625,19635,761,1513,315,0,45,746,229,336,157,431,161,270,126,0,45,81,67,93,100,96,64,17852,726,590,185,1192,260,2607,366,13463,633
5,Central,25677,831,12198,689,685,190,0,34,254,106,232,113,199,110,487,217,0,34,196,181,219,130,72,54,11026,629,127,73,730,233,2440,392,7729,503,13479,645,850,230,0,34,240,106,474,193,136,72,792,214,0,34,343,138,340,140,109,91,11837,616,367,132,847,259,2583,327,8040,497
6,East,47883,1104,25106,942,2217,435,0,47,726,282,1196,273,295,136,1353,248,0,47,891,201,371,133,91,66,21536,910,323,122,1648,310,6880,720,12685,719,22777,835,2269,435,0,47,800,301,1210,273,259,110,1975,279,0,47,1491,249,293,114,191,101,18533,767,242,100,1884,329,6020,606,10387,630
7,Northeast,69433,1750,33571,1275,10552,1083,20,63,8546,1049,1637,269,349,129,572,153,0,59,413,130,95,80,64,71,22447,770,690,165,1603,394,4496,515,15658,501,35862,1171,10430,849,37,77,8686,817,1381,289,326,112,1161,267,21,60,678,232,265,104,197,96,24271,839,905,185,2189,550,4233,433,16944,559
8,North,34832,888,17396,726,1886,385,9,43,850,281,709,216,318,132,329,152,0,43,114,72,156,128,59,59,15181,685,523,132,944,243,3792,529,9922,475,17436,624,1848,314,15,48,854,244,594,163,385,112,480,164,0,43,264,149,140,80,76,57,15108,591,440,133,711,202,2943,356,11014,473
9,Northwest,60550,1192,28913,893,2397,408,14,57,829,230,1211,302,343,132,484,233,0,54,231,155,148,114,105,87,26032,852,576,164,1579,334,6561,594,17316,667,31637,828,2819,400,19,56,874,217,1207,262,719,219,669,197,0,54,194,118,348,144,127,73,28149,786,479,150,1844,382,6599,598,19227,644
10,Ballard,38368,909,18732,672,1324,268,0,43,419,146,656,200,249,118,207,94,0,43,46,58,56,62,105,68,17201,660,486,176,893,255,4418,512,11404,479,19636,655,1472,277,0,43,239,109,831,227,402,140,336,145,0,43,75,70,102,99,159,91,17828,670,595,167,1068,347,4020,428,12145,501
11,Lake Union,40757,1263,21409,974,3059,516,0,42,1757,411,974,246,328,145,1049,365,0,42,535,317,462,182,52,67,17301,766,95,62,1249,331,6082,563,9875,580,19348,932,2982,473,0,42,1740,380,1003,249,239,104,986,277,0,42,421,215,413,151,152,84,15380,755,195,118,1211,299,5466,513,8508,485
12,Magnolia/Queen Anne,52372,1215,25222,1016,1295,257,0,51,738,210,354,142,203,90,1586,553,0,51,1173,531,290,146,123,98,22341,791,429,143,1231,262,6033,608,14648,620,27150,975,1840,391,0,51,932,329,484,158,424,151,2074,592,5,49,1579,566,281,140,209,114,23236,730,403,146,1299,287,6178,576,15356,567
13,Downtown,16459,752,9765,626,430,185,0,29,104,81,257,137,69,75,342,198,0,29,224,174,47,58,71,54,8993,606,30,42,583,225,2081,384,6299,475,6694,482,414,142,0,29,124,79,102,69,188,96,257,127,0,29,195,118,38,42,24,34,6023,451,46,47,399,156,1453,277,4125,383
