area_id,area_name,b14006001,b14006001_moe,b14006002,b14006002_moe,b14006003,b14006003_moe,b14006004,b14006004_moe,b14006005,b14006005_moe,b14006006,b14006006_moe,b14006007,b14006007_moe,b14006008,b14006008_moe,b14006009,b14006009_moe,b14006010,b14006010_moe,b14006011,b14006011_moe,b14006012,b14006012_moe,b14006013,b14006013_moe,b14006014,b14006014_moe,b14006015,b14006015_moe,b14006016,b14006016_moe,b14006017,b14006017_moe,b14006018,b14006018_moe,b14006019,b14006019_moe,b14006020,b14006020_moe,b14006021,b14006021_moe
1,Southwest,46952,1008,2970,508,708,228,7,47,11,48,57,64,68,77,139,92,387,160,39,73,2262,428,43982,1051,8630,611,1080,230,579,175,1770,257,1721,266,1325,231,1363,259,792,204,35352,856
2,Delridge Neighborhoods,32592,985,5231,783,1914,412,71,69,35,57,461,224,374,173,388,162,556,198,29,49,3317,520,27361,1039,5638,572,371,122,350,115,896,197,953,206,1474,324,1252,281,342,122,21723,816
3,Greater Duwamish,44991,1649,7864,1272,2805,680,200,125,75,66,610,247,826,279,524,211,467,170,103,71,5059,738,37127,1526,8522,763,528,152,593,188,1471,299,1575,313,1554,292,2329,354,472,152,28605,1157
4,Southeast,43332,1413,6714,1019,2284,538,94,74,163,116,528,223,398,188,456,180,523,182,122,103,4430,667,36618,1521,8442,851,423,134,589,174,1355,271,1847,324,1889,376,1855,359,484,163,28176,1089
5,Central,28130,974,3685,627,1072,372,19,43,11,37,90,82,109,115,120,93,557,240,166,81,2613,446,24445,954,4932,558,446,142,357,144,870,215,606,175,575,169,1360,293,718,197,19513,763
6,East,46935,1083,7117,697,2712,438,90,111,44,59,28,56,15,52,140,94,1860,374,535,165,4405,532,39818,1059,6382,627,385,130,185,87,736,148,659,225,595,151,2127,426,1695,292,33436,983
7,Northeast,68111,1664,11763,1155,8293,972,37,66,0,59,106,82,98,76,353,192,6461,892,1238,294,3470,560,56348,1160,14941,822,1353,219,668,157,2536,294,2161,278,1957,299,3574,526,2692,362,41407,881
8,North,38319,1014,5065,651,1817,364,110,83,51,77,139,98,166,95,131,84,890,261,330,137,3248,472,33254,1064,7057,630,511,127,293,108,1077,203,852,197,1007,211,2361,451,956,194,26197,903
9,Northwest,66648,1380,6898,876,2183,432,55,85,57,64,154,111,75,74,159,100,1192,298,491,192,4715,706,59750,1345,11610,745,1080,191,531,132,2183,331,1791,300,1341,256,2766,410,1918,322,48140,1117
10,Ballard,42650,984,2922,499,955,277,11,43,32,48,64,73,46,69,212,127,362,133,228,133,1967,338,39728,994,7575,577,916,185,346,114,1214,211,1219,221,1145,243,1579,348,1156,233,32153,860
11,Lake Union,42896,1299,7260,866,3832,704,40,73,0,42,62,81,3,41,95,103,2958,670,674,195,3428,459,35636,1086,6699,610,466,121,227,86,762,168,536,142,399,130,1994,396,2315,372,28937,985
12,Magnolia/Queen Anne,55395,1298,4264,741,1802,498,42,67,0,51,71,72,34,54,27,55,1540,479,88,67,2462,452,51131,1173,9090,677,1038,244,512,151,1516,270,1554,287,1133,241,1960,407,1377,312,42041,986
13,Downtown,16716,856,4601,705,915,415,74,72,36,54,105,114,154,111,32,40,474,288,40,45,3686,512,12115,655,995,272,39,68,0,29,51,47,41,43,63,47,362,172,439,182,11120,629
