area_id,area_name,b16001001,b16001001_moe,b16001002,b16001002_moe,b16001003,b16001003_moe,b16001004,b16001004_moe,b16001005,b16001005_moe,b16001006,b16001006_moe,b16001007,b16001007_moe,b16001008,b16001008_moe,b16001009,b16001009_moe,b16001010,b16001010_moe,b16001011,b16001011_moe,b16001012,b16001012_moe,b16001013,b16001013_moe,b16001014,b16001014_moe,b16001015,b16001015_moe,b16001016,b16001016_moe,b16001017,b16001017_moe,b16001018,b16001018_moe,b16001019,b16001019_moe,b16001020,b16001020_moe,b16001021,b16001021_moe,b16001022,b16001022_moe,b16001023,b16001023_moe,b16001024,b16001024_moe,b16001025,b16001025_moe,b16001026,b16001026_moe,b16001027,b16001027_moe,b16001028,b16001028_moe,b16001029,b16001029_moe,b16001030,b16001030_moe,b16001031,b16001031_moe,b16001032,b16001032_moe,b16001033,b16001033_moe,b16001034,b16001034_moe,b16001035,b16001035_moe,b16001036,b16001036_moe,b16001037,b16001037_moe,b16001038,b16001038_moe,b16001039,b16001039_moe,b16001040,b16001040_moe,b16001041,b16001041_moe,b16001042,b16001042_moe,b16001043,b16001043_moe,b16001044,b16001044_moe,b16001045,b16001045_moe,b16001046,b16001046_moe,b16001047,b16001047_moe,b16001048,b16001048_moe,b16001049,b16001049_moe,b16001050,b16001050_moe,b16001051,b16001051_moe,b16001052,b16001052_moe,b16001053,b16001053_moe,b16001054,b16001054_moe,b16001055,b16001055_moe,b16001056,b16001056_moe,b16001057,b16001057_moe,b16001058,b16001058_moe,b16001059,b16001059_moe,b16001060,b16001060_moe,b16001061,b16001061_moe,b16001062,b16001062_moe,b16001063,b16001063_moe,b16001064,b16001064_moe,b16001065,b16001065_moe,b16001066,b16001066_moe,b16001067,b16001067_moe,b16001068,b16001068_moe,b16001069,b16001069_moe,b16001070,b16001070_moe,b16001071,b16001071_moe,b16001072,b16001072_moe,b16001073,b16001073_moe,b16001074,b16001074_moe,b16001075,b16001075_moe,b16001076,b16001076_moe,b16001077,b16001077_moe,b16001078,b16001078_moe,b16001079,b16001079_moe,b16001080,b16001080_moe,b16001081,b16001081_moe,b16001082,b16001082_moe,b16001083,b16001083_moe,b16001084,b16001084_moe,b16001085,b16001085_moe,b16001086,b16001086_moe,b16001087,b16001087_moe,b16001088,b16001088_moe,b16001089,b16001089_moe,b16001090,b16001090_moe,b16001091,b16001091_moe,b16001092,b16001092_moe,b16001093,b16001093_moe,b16001094,b16001094_moe,b16001095,b16001095_moe,b16001096,b16001096_moe,b16001097,b16001097_moe,b16001098,b16001098_moe,b16001099,b16001099_moe,b16001100,b16001100_moe,b16001101,b16001101_moe,b16001102,b16001102_moe,b16001103,b16001103_moe,b16001104,b16001104_moe,b16001105,b16001105_moe,b16001106,b16001106_moe,b16001107,b16001107_moe,b16001108,b16001108_moe,b16001109,b16001109_moe,b16001110,b16001110_moe,b16001111,b16001111_moe,b16001112,b16001112_moe,b16001113,b16001113_moe,b16001114,b16001114_moe,b16001115,b16001115_moe,b16001116,b16001116_moe,b16001117,b16001117_moe,b16001118,b16001118_moe,b16001119,b16001119_moe
1,Southwest,46363,1013,41219,1086,1323,385,1041,346,282,118,440,271,369,255,71,104,0,48,0,48,0,48,154,102,137,100,17,52,9,47,9,47,0,48,526,184,425,166,101,77,0,48,0,48,0,48,0,48,0,48,0,48,134,99,134,99,0,48,165,174,28,54,137,172,233,178,128,100,105,96,135,160,135,160,0,48,87,81,47,55,40,54,65,89,53,88,12,49,11,48,11,48,0,48,10,48,10,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,11,50,0,48,11,50,90,65,73,59,17,53,243,110,186,92,57,58,245,133,148,98,97,83,127,97,42,64,85,87,22,46,14,51,8,44,0,48,0,48,0,48,134,103,107,96,27,60,0,48,0,48,0,48,316,180,241,157,75,67,59,61,46,59,13,50,109,92,43,64,66,79,244,187,196,177,48,53,0,48,0,48,0,48,2,45,2,45,0,48,16,53,16,53,0,48,25,52,18,53,7,47,31,56,31,56,0,48,178,141,173,142,5,46,0,48,0,48,0,48
2,Delridge Neighborhoods,31919,968,22043,954,3009,697,1438,381,1571,443,72,56,47,48,25,44,59,99,30,58,29,58,26,43,26,43,0,38,52,73,52,73,0,38,172,115,133,93,39,59,0,38,0,38,0,38,0,38,0,38,0,38,12,41,0,38,12,41,0,38,0,38,0,38,14,42,14,42,0,38,19,40,10,39,9,39,23,50,23,50,0,38,0,38,0,38,0,38,49,87,23,52,26,55,0,38,0,38,0,38,0,38,0,38,0,38,50,84,0,38,50,84,0,38,0,38,0,38,0,38,0,38,0,38,180,229,110,144,70,94,441,263,181,133,260,173,210,126,199,125,11,41,95,77,39,45,56,68,433,247,160,134,273,151,0,38,0,38,0,38,31,66,20,51,11,41,179,139,69,75,110,101,1362,439,683,333,679,250,35,59,31,60,4,37,1366,383,772,281,594,203,326,197,151,114,175,123,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,14,43,14,43,0,38,10,39,10,39,0,38,1637,436,1004,346,633,269,0,38,0,38,0,38
3,Greater Duwamish,43591,1593,18288,1065,3459,801,1696,448,1763,563,219,114,212,114,7,44,0,45,0,45,0,45,71,77,43,57,28,51,0,45,0,45,0,45,93,77,93,77,0,45,0,45,0,45,0,45,6,45,6,45,0,45,5,44,5,44,0,45,0,45,0,45,0,45,25,53,15,50,10,49,91,114,53,68,38,76,0,45,0,45,0,45,27,53,27,53,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,51,54,22,48,29,51,7926,994,2258,393,5668,780,395,202,215,155,180,99,71,76,27,50,44,57,170,109,54,59,116,86,0,45,0,45,0,45,136,117,51,66,85,84,140,108,52,65,88,68,4961,1057,1566,422,3395,744,300,259,199,167,101,105,2209,569,1433,496,776,229,822,347,434,233,388,180,0,45,0,45,0,45,67,59,67,59,0,45,4,45,0,45,4,45,76,92,29,61,47,75,0,45,0,45,0,45,3964,893,1195,434,2769,757,15,49,0,45,15,49
4,Southeast,42970,1435,26768,1277,2811,704,1637,445,1174,419,225,115,195,109,30,51,0,45,0,45,0,45,99,72,54,63,45,57,9,46,9,46,0,45,228,166,209,164,19,47,0,45,0,45,0,45,16,49,0,45,16,49,9,45,9,45,0,45,6,44,6,44,0,45,116,121,21,49,95,108,13,47,13,47,0,45,9,46,0,45,9,46,0,45,0,45,0,45,0,45,0,45,0,45,10,47,0,45,10,47,0,45,0,45,0,45,48,88,18,51,30,64,0,45,0,45,0,45,93,104,15,48,78,102,41,60,38,60,3,44,1237,427,456,229,781,306,255,121,172,98,83,67,110,121,101,121,9,46,431,271,267,219,164,122,58,94,0,45,58,94,238,226,94,124,144,153,758,539,350,304,408,265,2685,661,865,322,1820,469,394,281,159,127,235,170,2392,602,1327,377,1065,393,708,346,369,252,339,196,0,45,0,45,0,45,0,45,0,45,0,45,24,48,24,48,0,45,136,120,18,52,118,113,142,110,142,110,0,45,2822,772,896,326,1926,581,79,134,0,45,79,134
5,Central,27970,929,22998,951,1185,354,764,236,421,233,453,188,395,166,58,62,0,34,0,34,0,34,22,41,5,34,17,41,10,35,10,35,0,34,174,85,174,85,0,34,0,34,0,34,0,34,0,34,0,34,0,34,43,56,43,56,0,34,0,34,0,34,0,34,156,93,139,89,17,42,25,41,9,35,16,40,14,39,14,39,0,34,44,71,44,71,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,17,42,17,42,0,34,10,34,8,35,2,32,37,64,0,34,37,64,518,215,322,161,196,106,274,123,144,89,130,73,156,71,12,33,144,71,49,50,41,49,8,37,2,33,0,34,2,33,28,54,0,34,28,54,0,34,0,34,0,34,511,226,251,162,260,95,40,43,36,41,4,33,278,143,208,125,70,72,146,175,127,173,19,37,0,34,0,34,0,34,13,39,13,39,0,34,0,34,0,34,0,34,53,60,37,54,16,42,23,40,23,40,0,34,691,401,216,139,475,337,0,34,0,34,0,34
6,East,49787,1164,41146,1205,2008,458,1370,312,638,331,568,193,479,182,89,68,0,47,0,47,0,47,115,91,103,90,12,48,18,49,8,47,10,48,528,205,480,202,48,57,0,47,0,47,0,47,113,91,113,91,0,47,82,87,82,87,0,47,43,78,43,78,0,47,423,240,269,153,154,128,129,104,58,58,71,94,168,143,168,143,0,47,57,60,48,58,9,48,0,47,0,47,0,47,117,101,93,98,24,51,26,52,26,52,0,47,112,108,112,108,0,47,0,47,0,47,0,47,152,145,149,146,3,46,276,198,186,146,90,83,937,283,522,194,415,162,398,181,290,169,108,74,219,130,121,84,98,81,26,50,8,48,18,49,0,47,0,47,0,47,133,205,0,47,133,205,30,53,26,53,4,46,445,174,54,58,391,167,167,125,167,125,0,47,387,207,199,104,188,158,166,109,100,88,66,76,0,47,0,47,0,47,21,54,21,54,0,47,22,52,0,47,22,52,34,52,19,48,15,47,15,50,15,50,0,47,706,290,319,200,387,199,0,47,0,47,0,47
7,Northeast,75669,1815,61463,1772,2185,417,1927,386,258,112,588,187,534,183,54,65,16,62,16,62,0,59,186,105,134,98,52,68,119,86,104,77,15,62,699,197,659,188,40,64,0,59,0,59,0,59,91,81,91,81,0,59,202,98,184,96,18,62,281,230,257,215,24,67,480,197,227,104,253,163,64,88,38,69,26,62,30,63,30,63,0,59,55,68,40,66,15,62,48,71,29,66,19,64,145,97,145,97,0,59,25,62,25,62,0,59,348,165,323,151,25,70,0,59,0,59,0,59,99,104,99,104,0,59,137,109,61,71,76,102,3910,594,2235,392,1675,392,982,287,724,263,258,109,1357,324,793,225,564,203,3,57,3,57,0,59,0,59,0,59,0,59,167,128,77,86,90,82,30,73,0,59,30,73,532,265,375,201,157,122,182,134,148,110,34,78,502,239,378,206,124,103,199,134,119,102,80,80,0,59,0,59,0,59,25,59,21,61,4,57,26,63,26,63,0,59,208,161,144,147,64,87,95,88,95,88,0,59,164,114,95,86,69,81,26,68,26,68,0,59
8,North,37939,1028,28673,993,2261,543,1050,268,1211,455,263,164,207,129,56,65,0,43,0,43,0,43,101,99,93,94,8,46,103,97,103,97,0,43,141,75,131,73,10,44,0,43,0,43,0,43,6,41,1,42,5,42,64,76,58,67,6,45,29,50,29,50,0,43,165,120,38,58,127,111,28,50,28,50,0,43,79,96,33,66,46,82,0,43,0,43,0,43,9,44,0,43,9,44,134,148,59,81,75,87,74,69,42,61,32,49,54,75,54,75,0,43,65,133,44,95,21,57,159,122,77,67,82,111,52,70,36,56,16,48,1614,361,870,255,744,238,206,111,138,103,68,54,302,143,115,87,187,115,35,59,27,59,8,43,0,43,0,43,0,43,164,106,53,67,111,93,23,58,8,43,15,48,404,182,161,104,243,122,122,198,85,141,37,72,719,351,431,284,288,187,563,323,163,113,400,295,0,43,0,43,0,43,0,43,0,43,0,43,5,42,5,42,0,43,478,255,146,120,332,213,48,59,29,51,19,52,796,361,351,223,445,254,0,43,0,43,0,43
9,Northwest,65998,1333,54401,1369,2736,582,1751,403,985,332,599,190,526,169,73,97,15,56,15,56,0,54,128,126,128,126,0,54,111,75,95,74,16,54,651,215,589,206,62,72,65,79,65,79,0,54,0,54,0,54,0,54,159,91,143,91,16,55,218,141,113,85,105,120,524,327,351,294,173,144,1,52,1,52,0,54,0,54,0,54,0,54,36,69,17,55,19,60,0,54,0,54,0,54,47,92,47,92,0,54,21,60,21,60,0,54,93,92,80,85,13,56,59,104,37,86,22,56,272,214,88,95,184,186,70,91,22,57,48,88,1690,398,858,248,832,265,585,238,377,161,208,114,416,178,268,152,148,104,109,160,36,75,73,109,1,52,0,54,1,52,163,117,54,68,109,107,141,136,55,77,86,90,468,208,167,110,301,159,109,89,72,75,37,71,487,217,311,137,176,124,434,213,348,182,86,96,0,54,0,54,0,54,0,54,0,54,0,54,68,91,37,59,31,75,114,94,97,83,17,56,15,57,15,57,0,54,931,432,579,318,352,191,61,78,61,78,0,54
10,Ballard,41770,983,36796,967,1435,421,1051,294,384,219,194,112,141,106,53,53,0,43,0,43,0,43,132,140,93,97,39,62,28,51,28,51,0,43,297,198,297,198,0,43,0,43,0,43,0,43,40,50,40,50,0,43,558,320,465,314,93,68,141,125,94,79,47,66,185,150,169,144,16,47,78,85,14,46,64,75,17,50,0,43,17,50,35,54,35,54,0,43,44,81,28,61,16,49,14,47,14,47,0,43,0,43,0,43,0,43,56,70,41,68,15,47,19,49,19,49,0,43,0,43,0,43,0,43,21,46,9,45,12,45,341,168,217,112,124,98,459,227,347,197,112,74,172,163,140,158,32,58,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,169,134,48,69,121,123,43,70,32,57,11,45,206,132,145,109,61,89,80,114,71,97,9,46,0,43,0,43,0,43,0,43,0,43,0,43,42,61,42,61,0,43,0,43,0,43,0,43,0,43,0,43,0,43,126,129,69,85,57,79,42,54,15,48,27,50
