area_id,area_name,b16005c001,b16005c001_moe,b16005c002,b16005c002_moe,b16005c003,b16005c003_moe,b16005c004,b16005c004_moe,b16005c005,b16005c005_moe,b16005c006,b16005c006_moe,b16005c007,b16005c007_moe,b16005c008,b16005c008_moe,b16005c009,b16005c009_moe,b16005c010,b16005c010_moe,b16005c011,b16005c011_moe
1,Southwest,347,177,347,177,307,170,40,54,19,47,21,55,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,232,161,214,158,214,158,0,38,0,38,0,38,18,47,18,47,0,38,0,38,0,38
3,Greater Duwamish,418,214,418,214,340,189,78,64,78,64,0,45,0,45,0,45,0,45,0,45,0,45
4,Southeast,324,171,228,126,214,117,14,44,14,44,0,45,96,118,19,51,77,92,0,45,77,92
5,Central,128,72,113,68,100,66,13,39,13,39,0,34,15,40,0,34,15,40,0,34,15,40
6,East,721,240,674,234,644,232,30,56,21,54,9,48,47,70,0,47,47,70,47,70,0,47
7,Northeast,355,164,350,163,329,159,21,61,21,61,0,59,5,58,0,59,5,58,5,58,0,59
8,North,334,211,334,211,302,208,32,55,32,55,0,43,0,43,0,43,0,43,0,43,0,43
9,Northwest,553,218,480,172,408,162,72,73,36,67,36,60,73,122,0,54,73,122,0,54,73,122
10,Ballard,147,90,127,86,127,86,0,43,0,43,0,43,20,50,0,43,20,50,20,50,0,43
11,Lake Union,447,175,447,175,434,175,13,40,13,40,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,444,193,384,161,384,161,0,51,0,51,0,51,60,88,60,88,0,51,0,51,0,51
13,Downtown,178,108,168,107,168,107,0,29,0,29,0,29,10,29,10,29,0,29,0,29,0,29
