area_id,area_name,b16005e001,b16005e001_moe,b16005e002,b16005e002_moe,b16005e003,b16005e003_moe,b16005e004,b16005e004_moe,b16005e005,b16005e005_moe,b16005e006,b16005e006_moe,b16005e007,b16005e007_moe,b16005e008,b16005e008_moe,b16005e009,b16005e009_moe,b16005e010,b16005e010_moe,b16005e011,b16005e011_moe
1,Southwest,131,126,117,117,57,92,60,86,60,86,0,48,14,56,0,48,14,56,0,48,14,56
2,Delridge Neighborhoods,275,182,216,171,105,130,111,116,77,99,34,55,59,69,16,46,43,63,10,39,33,62
3,Greater Duwamish,497,307,399,252,166,162,233,196,202,180,31,68,98,112,0,45,98,112,19,53,79,100
4,Southeast,319,303,269,282,35,69,234,245,170,212,64,86,50,75,0,45,50,75,0,45,50,75
5,Central,9,36,9,36,0,34,9,36,0,34,9,36,0,34,0,34,0,34,0,34,0,34
6,East,64,67,64,67,34,57,30,55,30,55,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,105,80,84,79,59,72,25,65,25,65,0,59,21,61,21,61,0,59,0,59,0,59
8,North,247,191,247,191,120,95,127,128,102,100,25,53,0,43,0,43,0,43,0,43,0,43
9,Northwest,281,159,122,106,46,63,76,99,76,99,0,54,159,131,19,60,140,127,122,112,18,56
10,Ballard,121,137,103,119,41,54,62,97,62,97,0,43,18,46,0,43,18,46,9,44,9,46
11,Lake Union,70,92,70,92,70,92,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,32,60,20,51,14,53,6,49,6,49,0,51,12,51,0,51,12,51,0,51,12,51
13,Downtown,18,37,14,36,14,36,0,29,0,29,0,29,4,28,0,29,4,28,0,29,4,28
