area_id,area_name,b17001g001,b17001g001_moe,b17001g002,b17001g002_moe,b17001g003,b17001g003_moe,b17001g004,b17001g004_moe,b17001g005,b17001g005_moe,b17001g006,b17001g006_moe,b17001g007,b17001g007_moe,b17001g008,b17001g008_moe,b17001g009,b17001g009_moe,b17001g010,b17001g010_moe,b17001g011,b17001g011_moe,b17001g012,b17001g012_moe,b17001g013,b17001g013_moe,b17001g014,b17001g014_moe,b17001g015,b17001g015_moe,b17001g016,b17001g016_moe,b17001g017,b17001g017_moe,b17001g018,b17001g018_moe,b17001g019,b17001g019_moe,b17001g020,b17001g020_moe,b17001g021,b17001g021_moe,b17001g022,b17001g022_moe,b17001g023,b17001g023_moe,b17001g024,b17001g024_moe,b17001g025,b17001g025_moe,b17001g026,b17001g026_moe,b17001g027,b17001g027_moe,b17001g028,b17001g028_moe,b17001g029,b17001g029_moe,b17001g030,b17001g030_moe,b17001g031,b17001g031_moe,b17001g032,b17001g032_moe,b17001g033,b17001g033_moe,b17001g034,b17001g034_moe,b17001g035,b17001g035_moe,b17001g036,b17001g036_moe,b17001g037,b17001g037_moe,b17001g038,b17001g038_moe,b17001g039,b17001g039_moe,b17001g040,b17001g040_moe,b17001g041,b17001g041_moe,b17001g042,b17001g042_moe,b17001g043,b17001g043_moe,b17001g044,b17001g044_moe,b17001g045,b17001g045_moe,b17001g046,b17001g046_moe,b17001g047,b17001g047_moe,b17001g048,b17001g048_moe,b17001g049,b17001g049_moe,b17001g050,b17001g050_moe,b17001g051,b17001g051_moe,b17001g052,b17001g052_moe,b17001g053,b17001g053_moe,b17001g054,b17001g054_moe,b17001g055,b17001g055_moe,b17001g056,b17001g056_moe,b17001g057,b17001g057_moe,b17001g058,b17001g058_moe,b17001g059,b17001g059_moe
1,Southwest,2251,453,74,77,10,48,10,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,64,64,0,48,0,48,0,48,0,48,12,51,0,48,11,50,25,51,1,45,15,51,0,48,0,48,0,48,2177,449,1067,264,267,117,24,49,207,110,48,56,13,50,58,61,21,51,176,99,120,82,72,66,61,67,0,48,0,48,1110,277,187,94,87,100,199,115,74,76,21,55,18,54,2,48,100,75,181,87,104,72,91,73,25,55,21,51
2,Delridge Neighborhoods,1916,384,324,148,168,109,17,44,0,38,0,38,0,38,0,38,0,38,28,46,49,57,25,45,27,50,22,49,0,38,0,38,156,104,0,38,0,38,17,46,0,38,0,38,59,92,29,47,0,38,0,38,17,44,34,50,0,38,0,38,1592,353,763,196,172,99,14,41,131,80,0,38,0,38,62,67,160,89,84,52,91,76,35,42,0,38,0,38,14,42,829,241,113,73,22,45,95,70,65,62,8,39,10,41,104,79,134,85,109,89,137,94,9,39,15,43,8,38
3,Greater Duwamish,2071,501,313,192,129,87,32,55,0,45,0,45,0,45,0,45,0,45,42,55,0,45,18,51,17,45,0,45,20,50,0,45,184,135,7,45,0,45,26,53,0,45,0,45,0,45,20,55,36,61,46,66,49,60,0,45,0,45,0,45,1758,467,958,264,124,75,34,51,122,94,61,77,20,47,0,45,112,96,164,92,92,70,99,83,61,73,57,67,12,47,800,253,115,71,0,45,121,89,0,45,23,53,0,45,116,113,178,110,77,85,76,77,46,54,37,50,11,49
4,Southeast,2324,538,421,270,201,149,16,44,0,45,53,75,34,55,0,45,9,44,68,81,13,43,0,45,0,45,0,45,0,45,8,45,220,155,0,45,0,45,66,83,0,45,9,44,0,45,0,45,69,95,23,51,53,71,0,45,0,45,0,45,1903,460,819,237,158,94,0,45,120,86,50,56,65,71,24,47,42,55,102,73,135,74,51,60,52,56,20,47,0,45,1084,285,58,54,0,45,98,67,13,46,66,85,49,69,46,52,120,76,322,152,75,63,145,96,69,62,23,51
5,Central,1743,465,152,101,65,47,0,34,0,34,0,34,0,34,0,34,0,34,0,34,10,36,24,40,19,36,12,36,0,34,0,34,87,78,0,34,0,34,30,53,15,39,0,34,0,34,10,35,17,36,0,34,0,34,0,34,15,40,0,34,1591,486,616,208,105,85,17,42,71,54,19,41,0,34,0,34,85,79,87,58,158,120,45,57,0,34,20,44,9,34,975,345,37,43,27,42,55,50,109,81,28,53,25,42,96,68,303,157,119,72,33,55,83,76,51,77,9,39
6,East,1572,361,122,79,46,62,0,47,0,47,0,47,0,47,0,47,0,47,0,47,17,55,0,47,16,50,13,48,0,47,0,47,76,68,0,47,0,47,0,47,0,47,0,47,0,47,64,68,8,47,0,47,4,46,0,47,0,47,0,47,1450,353,787,269,36,58,19,54,74,62,33,60,26,70,0,47,182,173,120,78,140,117,75,63,82,96,0,47,0,47,663,188,0,47,0,47,14,49,23,51,0,47,48,63,101,91,181,96,193,102,30,53,57,55,5,46,11,47
7,Northeast,3472,484,705,213,363,148,54,65,0,59,22,61,15,61,0,59,0,59,214,126,41,66,5,58,0,59,12,59,0,59,0,59,342,148,16,62,0,59,0,59,0,59,0,59,14,62,166,99,64,81,63,96,19,59,0,59,0,59,0,59,2767,436,1314,255,213,100,40,63,164,88,125,97,31,64,26,63,96,73,335,141,116,89,81,73,26,61,27,63,34,68,1453,295,103,81,33,65,376,153,94,73,10,60,66,67,208,122,296,131,125,97,42,65,58,69,31,62,11,60
8,North,1664,384,272,111,147,71,4,42,0,43,11,45,23,47,0,43,0,43,3,42,50,54,32,49,0,43,8,42,0,43,16,48,125,71,48,57,12,46,0,43,0,43,0,43,0,43,20,44,29,48,9,44,0,43,7,43,0,43,0,43,1392,379,712,193,114,73,16,43,57,56,37,51,18,49,3,42,53,51,171,117,89,74,69,55,73,57,0,43,12,44,680,274,100,67,14,47,77,81,0,43,21,46,30,55,73,66,209,164,107,76,0,43,31,49,14,47,4,42
9,Northwest,3768,660,341,134,147,93,60,80,8,54,11,54,0,54,0,54,0,54,35,63,31,62,0,54,2,53,0,54,0,54,0,54,194,95,23,56,15,57,0,54,14,58,0,54,0,54,58,67,37,62,13,55,34,66,0,54,0,54,0,54,3427,647,1556,356,157,96,109,84,346,172,110,76,8,54,0,54,235,129,281,126,118,86,90,74,95,88,7,54,0,54,1871,424,279,219,34,61,211,122,99,76,33,62,87,90,245,130,362,170,323,150,68,63,67,72,36,65,27,60
10,Ballard,2241,446,205,151,120,99,0,43,0,43,11,44,12,44,12,44,0,43,27,52,30,49,12,45,16,49,0,43,0,43,0,43,85,98,0,43,0,43,0,43,0,43,0,43,22,54,23,55,0,43,0,43,40,68,0,43,0,43,0,43,2036,410,935,236,144,76,27,47,149,93,67,71,29,52,27,47,45,48,195,109,150,102,73,60,29,50,0,43,0,43,1101,279,191,100,27,58,101,74,0,43,14,48,54,83,75,74,420,194,126,86,50,54,15,47,28,47,0,43
