area_id,area_name,b17003001,b17003001_moe,b17003002,b17003002_moe,b17003003,b17003003_moe,b17003004,b17003004_moe,b17003005,b17003005_moe,b17003006,b17003006_moe,b17003007,b17003007_moe,b17003008,b17003008_moe,b17003009,b17003009_moe,b17003010,b17003010_moe,b17003011,b17003011_moe,b17003012,b17003012_moe,b17003013,b17003013_moe,b17003014,b17003014_moe,b17003015,b17003015_moe,b17003016,b17003016_moe,b17003017,b17003017_moe,b17003018,b17003018_moe,b17003019,b17003019_moe,b17003020,b17003020_moe,b17003021,b17003021_moe,b17003022,b17003022_moe,b17003023,b17003023_moe
1,Southwest,37901,803,2278,399,1113,273,181,139,152,98,349,124,431,170,1165,268,68,57,265,131,413,178,419,141,35623,824,16673,573,447,162,2159,319,4556,432,9511,557,18950,573,414,179,2330,313,5437,475,10769,545
2,Delridge Neighborhoods,24706,749,3167,461,1350,280,282,141,351,153,360,130,357,152,1817,320,691,224,351,132,573,180,202,121,21539,774,10488,522,1053,247,2061,349,3594,410,3780,352,11051,497,1011,251,1708,278,3486,403,4846,416
3,Greater Duwamish,32173,1101,4786,588,2377,404,852,241,663,225,463,168,399,157,2409,388,1161,279,357,140,569,180,322,131,27387,1081,13980,805,2997,489,2801,408,3713,437,4469,471,13407,608,3064,439,2834,358,3018,362,4491,446
4,Southeast,31910,967,4429,641,2046,403,663,252,446,181,604,207,333,160,2383,395,843,219,659,225,532,195,349,162,27481,1025,13139,694,1743,362,2330,365,3476,439,5590,425,14342,633,1779,285,2055,317,3977,445,6531,440
5,Central,22176,744,2406,388,979,263,113,80,192,102,298,154,376,160,1427,250,397,135,191,112,313,118,526,146,19770,739,9773,598,396,145,973,243,2138,361,6266,433,9997,520,441,158,829,262,2410,353,6317,435
6,East,38381,1001,4595,522,2248,345,402,182,477,167,673,187,696,199,2347,373,340,115,465,192,618,176,924,248,33786,957,18004,798,524,197,1300,312,4610,624,11570,662,15782,707,299,121,948,231,3843,494,10692,662
7,Northeast,45506,936,3532,483,1822,323,198,156,222,118,499,158,903,234,1710,370,95,86,225,133,501,272,889,211,41974,854,20406,649,240,99,1395,290,3243,440,15528,585,21568,557,262,114,1435,240,3476,350,16395,540
8,North,30031,772,3526,464,1583,297,337,151,318,139,370,132,558,173,1943,333,458,172,383,207,601,188,501,143,26505,831,13362,624,772,193,1850,389,3579,401,7161,461,13143,514,765,218,1816,308,3151,373,7411,455
9,Northwest,53285,1172,5018,723,2088,420,388,168,390,211,778,207,532,171,2930,449,373,155,746,259,935,236,876,217,48267,1099,23410,761,966,234,2400,315,5961,502,14083,693,24857,741,814,214,2807,359,6484,520,14752,674
10,Ballard,34484,750,2230,369,1048,221,111,75,105,82,412,153,420,133,1182,260,153,95,312,150,196,90,521,180,32254,781,15820,568,517,161,1634,383,3803,442,9866,557,16434,558,492,157,1756,331,4201,452,9985,551
11,Lake Union,33478,979,3308,432,1747,318,161,91,304,138,477,162,805,210,1561,291,195,120,293,124,372,153,701,175,30170,968,15976,716,334,133,918,214,3744,470,10980,638,14194,652,201,79,667,182,2660,359,10666,633
12,Magnolia/Queen Anne,44386,933,2303,400,1155,306,169,132,255,118,247,119,484,196,1148,223,65,66,192,100,397,139,494,144,42083,931,20459,648,342,147,1354,294,4276,464,14487,637,21624,698,149,73,1230,260,4994,465,15251,654
13,Downtown,14583,698,3556,487,2057,352,819,221,533,213,552,153,153,76,1499,262,546,151,288,136,407,150,258,91,11027,627,6606,510,369,122,582,176,1582,292,4073,449,4421,382,223,76,267,115,825,208,3106,322
