area_id,area_name,b17020c001,b17020c001_moe,b17020c002,b17020c002_moe,b17020c003,b17020c003_moe,b17020c004,b17020c004_moe,b17020c005,b17020c005_moe,b17020c006,b17020c006_moe,b17020c007,b17020c007_moe,b17020c008,b17020c008_moe,b17020c009,b17020c009_moe,b17020c010,b17020c010_moe,b17020c011,b17020c011_moe,b17020c012,b17020c012_moe,b17020c013,b17020c013_moe,b17020c014,b17020c014_moe,b17020c015,b17020c015_moe,b17020c016,b17020c016_moe,b17020c017,b17020c017_moe
1,Southwest,357,183,12,49,0,48,0,48,0,48,0,48,12,49,0,48,0,48,345,182,14,50,0,48,28,59,60,77,223,120,20,54,0,48
2,Delridge Neighborhoods,232,161,28,55,0,38,0,38,0,38,0,38,28,55,0,38,0,38,204,155,0,38,0,38,0,38,45,59,159,117,0,38,0,38
3,Greater Duwamish,425,228,75,70,0,45,0,45,14,49,14,49,47,55,0,45,0,45,350,220,23,54,0,45,20,51,67,86,204,126,13,47,23,49
4,Southeast,374,183,87,94,0,45,0,45,21,54,21,54,45,67,0,45,0,45,287,159,53,73,0,45,0,45,50,69,167,126,17,50,0,45
5,Central,161,110,95,97,42,73,0,34,0,34,0,34,53,48,0,34,0,34,66,60,0,34,0,34,0,34,0,34,66,60,0,34,0,34
6,East,748,261,322,181,31,66,22,57,0,47,0,47,238,143,31,50,0,47,426,195,20,52,0,47,0,47,1,45,405,189,0,47,0,47
7,Northeast,329,159,65,99,0,59,0,59,0,59,0,59,46,90,19,71,0,59,264,136,17,60,0,59,30,64,10,60,207,106,0,59,0,59
8,North,369,230,83,92,37,72,0,43,0,43,0,43,35,47,0,43,11,43,286,204,0,43,19,50,48,75,0,43,204,139,0,43,15,46
9,Northwest,575,220,143,115,0,54,0,54,0,54,0,54,118,97,25,65,0,54,432,195,42,67,0,54,17,58,16,59,329,149,16,59,12,54
10,Ballard,147,90,15,49,0,43,0,43,0,43,0,43,15,49,0,43,0,43,132,87,0,43,0,43,11,45,0,43,90,76,0,43,31,49
11,Lake Union,447,175,214,137,0,42,0,42,0,42,0,42,198,135,16,48,0,42,233,117,0,42,0,42,0,42,0,42,222,115,11,46,0,42
12,Magnolia/Queen Anne,444,193,17,55,0,51,0,51,0,51,0,51,17,55,0,51,0,51,427,192,0,51,32,62,27,66,11,52,281,151,54,78,22,53
13,Downtown,178,108,70,59,0,29,0,29,0,29,0,29,43,46,27,44,0,29,108,93,0,29,0,29,0,29,0,29,108,93,0,29,0,29
