area_id,area_name,b18101001,b18101001_moe,b18101002,b18101002_moe,b18101003,b18101003_moe,b18101004,b18101004_moe,b18101005,b18101005_moe,b18101006,b18101006_moe,b18101007,b18101007_moe,b18101008,b18101008_moe,b18101009,b18101009_moe,b18101010,b18101010_moe,b18101011,b18101011_moe,b18101012,b18101012_moe,b18101013,b18101013_moe,b18101014,b18101014_moe,b18101015,b18101015_moe,b18101016,b18101016_moe,b18101017,b18101017_moe,b18101018,b18101018_moe,b18101019,b18101019_moe,b18101020,b18101020_moe,b18101021,b18101021_moe,b18101022,b18101022_moe,b18101023,b18101023_moe,b18101024,b18101024_moe,b18101025,b18101025_moe,b18101026,b18101026_moe,b18101027,b18101027_moe,b18101028,b18101028_moe,b18101029,b18101029_moe,b18101030,b18101030_moe,b18101031,b18101031_moe,b18101032,b18101032_moe,b18101033,b18101033_moe,b18101034,b18101034_moe,b18101035,b18101035_moe,b18101036,b18101036_moe,b18101037,b18101037_moe,b18101038,b18101038_moe,b18101039,b18101039_moe
1,Southwest,48549,1060,22534,749,1453,259,11,50,1442,259,2720,367,48,61,2672,361,4307,468,261,110,4046,463,11405,485,852,232,10553,438,1562,229,327,106,1235,222,1087,189,541,151,546,125,26015,813,1518,304,0,48,1518,304,3357,369,84,72,3273,365,5215,486,100,73,5115,485,12156,461,615,194,11541,434,1909,246,212,92,1697,241,1860,228,903,184,957,172
2,Delridge Neighborhoods,34224,1046,17099,744,1317,313,17,44,1300,311,2505,321,93,62,2412,318,4843,515,162,95,4681,525,7119,458,731,199,6388,430,878,162,257,109,621,134,437,127,304,119,133,74,17125,738,1095,234,0,38,1095,234,2068,341,47,58,2021,340,4655,493,316,140,4339,474,7469,410,780,197,6689,406,1146,196,331,135,815,157,692,148,343,111,349,106
3,Greater Duwamish,46942,1787,23664,1220,1852,357,0,45,1852,357,3265,460,92,66,3173,460,6167,608,227,109,5940,613,10124,729,1264,258,8860,666,1254,242,325,132,929,208,1002,177,588,158,414,119,23278,1093,1739,347,0,45,1739,347,3922,607,157,101,3765,593,5795,492,134,94,5661,485,8592,499,893,207,7699,509,1355,228,362,117,993,214,1875,256,975,199,900,201
4,Southeast,45465,1460,22041,1076,1681,320,14,47,1667,321,3702,572,146,86,3556,565,4092,533,176,103,3916,515,10266,575,1045,249,9221,580,1375,224,272,126,1103,197,925,166,452,119,473,127,23424,885,1321,270,0,45,1321,270,3370,405,89,78,3281,396,5044,526,298,165,4746,500,10680,538,1244,242,9436,522,1728,250,634,192,1094,197,1281,217,745,176,536,122
5,Central,29258,999,13968,737,845,217,38,61,807,212,1222,288,46,50,1176,284,4053,556,159,86,3894,545,6482,448,646,203,5836,430,911,170,226,103,685,148,455,129,236,98,219,87,15290,746,883,199,0,34,883,199,1557,274,0,34,1557,274,4822,449,128,74,4694,449,6085,443,745,209,5340,384,1026,211,244,131,782,178,917,167,495,140,422,123
6,East,49404,1211,25214,953,714,181,0,47,714,181,1277,237,59,58,1218,227,11019,849,176,93,10843,847,10028,653,1382,294,8646,630,1247,227,332,127,915,192,929,161,445,115,484,123,24190,909,808,253,0,47,808,253,1095,201,49,59,1046,183,11606,716,251,124,11355,713,7667,544,806,225,6861,520,1596,248,318,108,1278,233,1418,211,594,143,824,176
7,Northeast,79116,1823,38417,1330,1809,259,20,64,1789,256,3799,341,165,96,3634,328,16770,1217,609,211,16161,1199,12859,473,692,190,12167,453,1905,207,275,114,1630,187,1275,192,498,126,777,154,40699,1229,1774,253,0,59,1774,253,4061,343,82,82,3979,342,17432,1118,498,153,16934,1120,13202,468,618,158,12584,459,2113,231,269,102,1844,223,2117,322,841,280,1276,184
8,North,39862,1083,19904,821,903,196,0,43,903,196,2218,305,115,78,2103,303,6512,627,200,99,6312,617,8314,448,844,200,7470,433,976,200,300,103,676,178,981,186,608,162,373,109,19958,765,1171,241,0,43,1171,241,1872,280,25,53,1847,277,5506,476,264,130,5242,475,8438,408,941,204,7497,408,1179,194,316,122,863,157,1792,245,984,206,808,180
9,Northwest,69266,1459,33570,1026,1987,324,38,68,1949,320,3487,426,55,56,3432,424,10518,738,263,110,10255,735,14425,620,1172,268,13253,590,1598,233,398,123,1200,204,1555,236,824,179,731,168,35696,976,1978,365,0,54,1978,365,3049,352,97,87,2952,347,11058,729,338,160,10720,731,14788,603,1216,238,13572,587,1977,298,472,187,1505,234,2846,294,1502,235,1344,230
10,Ballard,44326,1011,21960,755,1445,229,0,43,1445,229,2370,333,44,53,2326,327,6407,601,85,68,6322,599,9820,440,679,174,9141,441,1117,204,107,86,1010,193,801,142,318,103,483,113,22366,725,1255,228,0,43,1255,228,2113,298,47,57,2066,294,6335,523,210,134,6125,526,10107,436,489,157,9618,429,1271,189,167,81,1104,179,1285,205,726,186,559,121
11,Lake Union,44115,1324,23170,1005,1048,220,0,42,1048,220,958,166,37,57,921,166,10968,914,413,197,10555,854,8703,544,857,216,7846,526,1046,186,245,111,801,161,447,148,224,135,223,78,20945,981,559,157,0,42,559,157,1272,228,25,52,1247,228,10241,827,317,146,9924,826,7371,459,775,210,6596,439,668,144,123,69,545,130,834,172,520,147,314,98
12,Magnolia/Queen Anne,59068,1388,28556,1098,1556,296,14,53,1542,295,2639,350,100,74,2539,339,9451,919,282,150,9169,911,12170,597,953,242,11217,560,1533,241,151,75,1382,232,1207,202,499,146,708,159,30512,1094,1366,260,0,51,1366,260,2578,370,42,70,2536,371,10729,934,437,208,10292,871,12060,524,775,195,11285,532,1855,247,437,148,1418,224,1924,244,808,191,1116,197
13,Downtown,17106,915,10019,686,366,134,0,29,366,134,219,169,0,29,219,169,3086,463,136,94,2950,448,5031,429,1458,279,3573,386,755,183,196,96,559,154,562,160,303,124,259,111,7087,540,173,121,0,29,173,121,270,138,0,29,270,138,2311,363,64,67,2247,359,3114,318,602,161,2512,291,729,186,182,112,547,143,490,121,322,106,168,73
