area_id,area_name,b18101c001,b18101c001_moe,b18101c002,b18101c002_moe,b18101c003,b18101c003_moe,b18101c004,b18101c004_moe,b18101c005,b18101c005_moe,b18101c006,b18101c006_moe,b18101c007,b18101c007_moe,b18101c008,b18101c008_moe,b18101c009,b18101c009_moe,b18101c010,b18101c010_moe
1,Southwest,357,183,102,109,0,48,102,109,235,122,21,55,214,117,20,54,20,54,0,48
2,Delridge Neighborhoods,232,161,45,59,0,38,45,59,187,125,28,55,159,117,0,38,0,38,0,38
3,Greater Duwamish,464,245,177,146,15,50,162,138,251,131,110,86,141,98,36,51,27,51,9,45
4,Southeast,374,183,145,115,25,57,120,109,212,139,71,73,141,107,17,50,0,45,17,50
5,Central,161,110,42,73,0,34,42,73,119,70,18,40,101,66,0,34,0,34,0,34
6,East,748,261,74,98,0,47,74,98,643,233,105,84,538,211,31,50,31,50,0,47
7,Northeast,360,168,57,72,0,59,57,72,284,138,37,69,247,131,19,71,19,71,0,59
8,North,369,230,104,123,0,43,104,123,239,148,6,43,233,148,26,46,26,46,0,43
9,Northwest,592,237,92,104,0,54,92,104,447,171,70,78,377,161,53,69,34,64,19,55
10,Ballard,147,90,11,45,0,43,11,45,105,80,15,49,90,76,31,49,31,49,0,43
11,Lake Union,447,175,0,42,0,42,0,42,420,172,155,111,265,132,27,52,27,52,0,42
12,Magnolia/Queen Anne,444,193,70,77,0,51,70,77,298,152,27,61,271,144,76,81,76,81,0,51
13,Downtown,178,108,0,29,0,29,0,29,151,101,62,56,89,87,27,44,13,40,14,35
