area_id,area_name,b19001001,b19001001_moe,b19001002,b19001002_moe,b19001003,b19001003_moe,b19001004,b19001004_moe,b19001005,b19001005_moe,b19001006,b19001006_moe,b19001007,b19001007_moe,b19001008,b19001008_moe,b19001009,b19001009_moe,b19001010,b19001010_moe,b19001011,b19001011_moe,b19001012,b19001012_moe,b19001013,b19001013_moe,b19001014,b19001014_moe,b19001015,b19001015_moe,b19001016,b19001016_moe,b19001017,b19001017_moe
1,Southwest,23226,383,827,226,807,206,704,189,597,188,988,220,880,205,879,210,777,182,945,220,1576,258,2103,318,3092,349,2639,326,1691,269,2168,274,2553,316
2,Delridge Neighborhoods,14850,356,1100,230,689,188,705,204,818,206,752,200,561,150,557,179,682,206,426,147,1150,225,1822,282,2067,301,1134,212,923,195,919,191,545,162
3,Greater Duwamish,16086,331,1376,251,906,205,738,176,917,260,842,210,684,198,804,202,906,221,891,227,1436,259,1608,280,1678,245,1272,209,931,213,652,199,445,135
4,Southeast,17612,387,1551,289,744,217,687,196,831,231,787,223,904,238,670,193,525,172,547,176,1559,291,1599,282,2464,349,1670,263,810,179,1134,228,1130,218
5,Central,13921,329,1087,205,634,183,728,239,534,176,647,204,623,204,497,156,494,147,530,160,1006,216,1096,250,1671,296,1068,222,794,185,1061,178,1451,209
6,East,29701,474,2782,356,1569,285,1585,338,1785,338,1256,274,1639,308,1385,282,1441,291,1119,235,2212,369,2372,323,3183,412,2324,363,1600,333,1459,282,1990,287
7,Northeast,30311,401,2784,347,1058,240,966,219,1023,224,1297,261,892,196,846,194,1052,208,1000,204,2001,303,2710,357,3080,344,2590,309,1973,270,2504,287,4535,351
8,North,19461,351,1793,298,912,226,847,215,1231,238,904,241,915,228,917,242,741,181,987,235,1481,267,1866,272,2192,295,1712,241,1012,185,968,178,983,172
9,Northwest,33168,437,2194,362,1459,261,1119,234,1220,257,1319,263,1512,281,1053,224,1504,272,1424,279,2166,297,3568,389,4095,410,3488,386,2284,320,2470,312,2293,282
10,Ballard,21236,330,907,224,491,149,606,158,588,162,715,185,928,260,613,200,982,229,818,204,1659,291,2384,314,3085,379,2769,358,1692,268,1569,259,1430,219
11,Lake Union,24520,524,2242,368,1046,226,910,224,744,189,735,190,1141,272,879,220,1354,303,1073,224,2108,351,2312,346,2989,412,2426,310,1276,235,1630,243,1655,266
12,Magnolia/Queen Anne,29974,461,1290,246,794,222,626,197,1012,217,946,220,1286,238,1173,249,1414,276,1053,223,2463,368,3138,398,4042,456,2628,346,2020,300,2467,333,3622,359
13,Downtown,11410,381,2102,300,1025,233,691,201,385,120,420,139,393,156,472,179,361,138,263,108,494,183,780,212,1291,252,876,191,367,130,456,164,1034,232
