area_id,area_name,b19037c001,b19037c001_moe,b19037c002,b19037c002_moe,b19037c003,b19037c003_moe,b19037c004,b19037c004_moe,b19037c005,b19037c005_moe,b19037c006,b19037c006_moe,b19037c007,b19037c007_moe,b19037c008,b19037c008_moe,b19037c009,b19037c009_moe,b19037c010,b19037c010_moe,b19037c011,b19037c011_moe,b19037c012,b19037c012_moe,b19037c013,b19037c013_moe,b19037c014,b19037c014_moe,b19037c015,b19037c015_moe,b19037c016,b19037c016_moe,b19037c017,b19037c017_moe,b19037c018,b19037c018_moe,b19037c019,b19037c019_moe,b19037c020,b19037c020_moe,b19037c021,b19037c021_moe,b19037c022,b19037c022_moe,b19037c023,b19037c023_moe,b19037c024,b19037c024_moe,b19037c025,b19037c025_moe,b19037c026,b19037c026_moe,b19037c027,b19037c027_moe,b19037c028,b19037c028_moe,b19037c029,b19037c029_moe,b19037c030,b19037c030_moe,b19037c031,b19037c031_moe,b19037c032,b19037c032_moe,b19037c033,b19037c033_moe,b19037c034,b19037c034_moe,b19037c035,b19037c035_moe,b19037c036,b19037c036_moe,b19037c037,b19037c037_moe,b19037c038,b19037c038_moe,b19037c039,b19037c039_moe,b19037c040,b19037c040_moe,b19037c041,b19037c041_moe,b19037c042,b19037c042_moe,b19037c043,b19037c043_moe,b19037c044,b19037c044_moe,b19037c045,b19037c045_moe,b19037c046,b19037c046_moe,b19037c047,b19037c047_moe,b19037c048,b19037c048_moe,b19037c049,b19037c049_moe,b19037c050,b19037c050_moe,b19037c051,b19037c051_moe,b19037c052,b19037c052_moe,b19037c053,b19037c053_moe,b19037c054,b19037c054_moe,b19037c055,b19037c055_moe,b19037c056,b19037c056_moe,b19037c057,b19037c057_moe,b19037c058,b19037c058_moe,b19037c059,b19037c059_moe,b19037c060,b19037c060_moe,b19037c061,b19037c061_moe,b19037c062,b19037c062_moe,b19037c063,b19037c063_moe,b19037c064,b19037c064_moe,b19037c065,b19037c065_moe,b19037c066,b19037c066_moe,b19037c067,b19037c067_moe,b19037c068,b19037c068_moe,b19037c069,b19037c069_moe
1,Southwest,103,70,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,45,58,0,48,0,48,0,48,0,48,17,52,0,48,0,48,13,49,0,48,0,48,0,48,15,51,0,48,0,48,0,48,0,48,39,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,14,51,0,48,0,48,2,46,15,48,0,48,8,47,0,48,19,55,0,48,0,48,19,55,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,139,89,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,84,73,0,38,0,38,0,38,0,38,3,37,42,59,0,38,0,38,0,38,18,46,0,38,0,38,0,38,0,38,21,50,0,38,55,63,28,55,0,38,18,47,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,9,37,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
3,Greater Duwamish,122,68,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,37,54,0,45,7,45,0,45,0,45,18,49,0,45,0,45,0,45,0,45,0,45,0,45,12,49,0,45,0,45,0,45,0,45,63,57,0,45,0,45,0,45,0,45,0,45,15,49,13,46,0,45,0,45,0,45,0,45,18,50,0,45,0,45,0,45,17,47,22,48,0,45,0,45,0,45,0,45,13,47,0,45,0,45,0,45,0,45,9,45,0,45,0,45,0,45,0,45,0,45,0,45
4,Southeast,107,72,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,41,53,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,14,49,0,45,0,45,12,47,0,45,15,48,0,45,49,56,15,48,0,45,0,45,0,45,12,48,0,45,11,46,0,45,11,47,0,45,0,45,0,45,0,45,0,45,0,45,0,45,17,50,0,45,17,50,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
5,Central,94,66,23,37,13,36,0,34,0,34,0,34,0,34,0,34,10,35,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,52,58,24,42,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,28,51,0,34,0,34,0,34,0,34,0,34,0,34,19,44,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,19,44,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,449,166,41,61,20,53,0,47,0,47,0,47,0,47,21,55,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,206,111,23,58,49,60,36,70,0,47,0,47,0,47,0,47,0,47,42,77,10,47,17,51,29,53,0,47,0,47,0,47,0,47,202,121,33,55,45,69,0,47,8,47,58,82,0,47,19,49,39,77,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,114,77,15,62,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,15,62,0,59,0,59,0,59,0,59,0,59,34,59,0,59,0,59,0,59,0,59,6,58,0,59,0,59,0,59,0,59,7,59,0,59,0,59,0,59,0,59,9,59,12,59,65,73,0,59,0,59,0,59,12,60,0,59,0,59,0,59,0,59,0,59,11,60,0,59,22,66,15,62,0,59,5,58,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,177,91,14,45,14,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,76,76,0,43,0,43,0,43,15,46,0,43,0,43,21,54,11,44,29,62,0,43,0,43,0,43,0,43,0,43,0,43,0,43,61,53,9,44,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,46,3,42,13,46,6,43,0,43,0,43,0,43,16,43,26,46,11,43,0,43,0,43,15,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
9,Northwest,249,108,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,83,71,15,56,0,54,0,54,27,58,0,54,0,54,0,54,0,54,17,58,0,54,0,54,0,54,0,54,12,56,12,56,0,54,122,87,0,54,0,54,15,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,43,65,0,54,11,55,12,56,17,59,24,66,44,66,0,54,25,65,0,54,0,54,0,54,0,54,0,54,0,54,12,54,0,54,0,54,7,54,0,54,0,54,0,54,0,54
10,Ballard,65,59,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,48,56,0,43,0,43,0,43,0,43,0,43,0,43,0,43,20,50,0,43,0,43,14,48,14,46,0,43,0,43,0,43,0,43,17,44,0,43,0,43,0,43,0,43,11,45,0,43,6,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
