area_id,area_name,b19037f001,b19037f001_moe,b19037f002,b19037f002_moe,b19037f003,b19037f003_moe,b19037f004,b19037f004_moe,b19037f005,b19037f005_moe,b19037f006,b19037f006_moe,b19037f007,b19037f007_moe,b19037f008,b19037f008_moe,b19037f009,b19037f009_moe,b19037f010,b19037f010_moe,b19037f011,b19037f011_moe,b19037f012,b19037f012_moe,b19037f013,b19037f013_moe,b19037f014,b19037f014_moe,b19037f015,b19037f015_moe,b19037f016,b19037f016_moe,b19037f017,b19037f017_moe,b19037f018,b19037f018_moe,b19037f019,b19037f019_moe,b19037f020,b19037f020_moe,b19037f021,b19037f021_moe,b19037f022,b19037f022_moe,b19037f023,b19037f023_moe,b19037f024,b19037f024_moe,b19037f025,b19037f025_moe,b19037f026,b19037f026_moe,b19037f027,b19037f027_moe,b19037f028,b19037f028_moe,b19037f029,b19037f029_moe,b19037f030,b19037f030_moe,b19037f031,b19037f031_moe,b19037f032,b19037f032_moe,b19037f033,b19037f033_moe,b19037f034,b19037f034_moe,b19037f035,b19037f035_moe,b19037f036,b19037f036_moe,b19037f037,b19037f037_moe,b19037f038,b19037f038_moe,b19037f039,b19037f039_moe,b19037f040,b19037f040_moe,b19037f041,b19037f041_moe,b19037f042,b19037f042_moe,b19037f043,b19037f043_moe,b19037f044,b19037f044_moe,b19037f045,b19037f045_moe,b19037f046,b19037f046_moe,b19037f047,b19037f047_moe,b19037f048,b19037f048_moe,b19037f049,b19037f049_moe,b19037f050,b19037f050_moe,b19037f051,b19037f051_moe,b19037f052,b19037f052_moe,b19037f053,b19037f053_moe,b19037f054,b19037f054_moe,b19037f055,b19037f055_moe,b19037f056,b19037f056_moe,b19037f057,b19037f057_moe,b19037f058,b19037f058_moe,b19037f059,b19037f059_moe,b19037f060,b19037f060_moe,b19037f061,b19037f061_moe,b19037f062,b19037f062_moe,b19037f063,b19037f063_moe,b19037f064,b19037f064_moe,b19037f065,b19037f065_moe,b19037f066,b19037f066_moe,b19037f067,b19037f067_moe,b19037f068,b19037f068_moe,b19037f069,b19037f069_moe
1,Southwest,45,54,15,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,15,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,17,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,15,51,0,48,0,48,2,47,13,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,13,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,328,143,36,68,0,38,0,38,0,38,36,68,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,162,97,0,38,31,60,32,58,10,40,0,38,22,50,0,38,0,38,21,50,0,38,16,44,13,42,17,45,0,38,0,38,0,38,130,104,0,38,0,38,19,46,54,89,21,47,0,38,0,38,10,40,0,38,4,38,0,38,22,49,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
3,Greater Duwamish,230,115,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,174,108,18,53,7,45,31,56,0,45,66,89,0,45,0,45,0,45,0,45,19,53,27,51,6,47,0,45,0,45,0,45,0,45,56,58,0,45,0,45,0,45,0,45,0,45,0,45,34,55,0,45,10,47,0,45,0,45,0,45,0,45,0,45,0,45,12,47,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
4,Southeast,236,123,17,49,17,49,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,16,49,0,45,0,45,0,45,0,45,0,45,16,49,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,164,109,23,56,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,47,68,31,52,49,83,14,47,0,45,0,45,39,61,24,58,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,15,49,0,45,0,45,0,45
5,Central,109,66,14,39,14,39,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,72,60,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,13,38,0,34,29,46,9,35,21,47,0,34,0,34,23,38,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,8,34,0,34,0,34,0,34,15,38,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,258,104,61,65,14,51,0,47,0,47,0,47,0,47,0,47,0,47,35,60,0,47,0,47,0,47,0,47,12,48,0,47,0,47,0,47,150,90,30,53,0,47,0,47,0,47,14,50,29,64,0,47,0,47,18,53,0,47,19,56,0,47,32,57,8,47,0,47,0,47,47,55,10,48,0,47,0,47,0,47,0,47,0,47,0,47,0,47,12,47,0,47,0,47,0,47,11,51,0,47,0,47,14,49,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,306,164,112,114,94,111,0,59,0,59,0,59,0,59,0,59,0,59,18,65,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,122,99,0,59,0,59,14,62,0,59,49,95,13,61,0,59,0,59,0,59,0,59,19,59,9,60,0,59,10,60,8,59,0,59,72,100,0,59,53,99,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,10,60,9,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,377,151,17,48,0,43,0,43,0,43,17,48,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,275,143,0,43,0,43,0,43,40,75,0,43,0,43,0,43,0,43,40,75,0,43,121,100,74,68,0,43,0,43,0,43,0,43,65,61,10,45,0,43,0,43,17,50,0,43,0,43,0,43,0,43,13,45,0,43,10,44,0,43,15,48,0,43,0,43,0,43,20,46,0,43,15,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,5,42,0,43,0,43,0,43
9,Northwest,562,193,30,70,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,30,70,0,54,0,54,0,54,0,54,0,54,0,54,457,180,0,54,0,54,9,55,39,80,0,54,113,107,25,57,82,109,63,77,13,56,39,66,25,57,14,57,5,53,30,58,0,54,28,59,0,54,0,54,0,54,0,54,0,54,0,54,0,54,17,57,0,54,0,54,0,54,11,55,0,54,0,54,0,54,0,54,47,64,18,59,0,54,0,54,19,59,0,54,0,54,10,55,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
10,Ballard,156,95,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,112,90,0,43,0,43,15,47,0,43,0,43,0,43,0,43,47,67,0,43,15,48,35,68,0,43,0,43,0,43,0,43,0,43,25,47,0,43,0,43,11,45,0,43,0,43,0,43,0,43,0,43,0,43,14,45,0,43,0,43,0,43,0,43,0,43,0,43,19,49,19,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
