area_id,area_name,b19080001,b19080001_moe,b19080002,b19080002_moe,b19080003,b19080003_moe,b19080004,b19080004_moe,b19080005,b19080005_moe
1,Southwest,144062,14751,240460,16335,365616,21975,527239,34866,863378,54094
2,Delridge Neighborhoods,215523,95172,387367,209074,721258,214461,1007422,122760,1629026,131011
3,Greater Duwamish,216605,23350,382412,24415,587429,30509,944299,55894,1498392,144399
4,Southeast,138147,36678,232630,60752,409310,56806,582955,29916,953725,127989
5,Central,80899,16389,161918,17611,267529,16258,388738,31277,737937,94264
6,East,163597,15680,300922,18942,510672,36302,840096,51398,1443922,150132
7,Northeast,43897,10129,80530,14305,119365,13889,175440,15606,313094,53480
8,North,170023,17439,306685,26391,466180,27899,717618,41432,1287663,147495
9,Northwest,306339,25254,552113,31071,859213,33638,1233553,61093,2045426,135659
10,Ballard,221105,15895,380252,21865,539483,20834,767820,32494,1211971,115850
11,Lake Union,218271,18688,370286,23863,580668,35669,889794,50639,1608364,134820
12,Magnolia/Queen Anne,88298,9223,142222,14665,200157,14049,326007,37882,634568,80116
13,Downtown,17895,1214,30531,5685,56455,7805,139427,28201,245264,54184
