area_id,area_name,b20005b001,b20005b001_moe,b20005b002,b20005b002_moe,b20005b003,b20005b003_moe,b20005b004,b20005b004_moe,b20005b005,b20005b005_moe,b20005b006,b20005b006_moe,b20005b007,b20005b007_moe,b20005b008,b20005b008_moe,b20005b009,b20005b009_moe,b20005b010,b20005b010_moe,b20005b011,b20005b011_moe,b20005b012,b20005b012_moe,b20005b013,b20005b013_moe,b20005b014,b20005b014_moe,b20005b015,b20005b015_moe,b20005b016,b20005b016_moe,b20005b017,b20005b017_moe,b20005b018,b20005b018_moe,b20005b019,b20005b019_moe,b20005b020,b20005b020_moe,b20005b021,b20005b021_moe,b20005b022,b20005b022_moe,b20005b023,b20005b023_moe,b20005b024,b20005b024_moe,b20005b025,b20005b025_moe,b20005b026,b20005b026_moe,b20005b027,b20005b027_moe,b20005b028,b20005b028_moe,b20005b029,b20005b029_moe,b20005b030,b20005b030_moe,b20005b031,b20005b031_moe,b20005b032,b20005b032_moe,b20005b033,b20005b033_moe,b20005b034,b20005b034_moe,b20005b035,b20005b035_moe,b20005b036,b20005b036_moe,b20005b037,b20005b037_moe,b20005b038,b20005b038_moe,b20005b039,b20005b039_moe,b20005b040,b20005b040_moe,b20005b041,b20005b041_moe,b20005b042,b20005b042_moe,b20005b043,b20005b043_moe,b20005b044,b20005b044_moe,b20005b045,b20005b045_moe,b20005b046,b20005b046_moe,b20005b047,b20005b047_moe,b20005b048,b20005b048_moe,b20005b049,b20005b049_moe,b20005b050,b20005b050_moe,b20005b051,b20005b051_moe,b20005b052,b20005b052_moe,b20005b053,b20005b053_moe,b20005b054,b20005b054_moe,b20005b055,b20005b055_moe,b20005b056,b20005b056_moe,b20005b057,b20005b057_moe,b20005b058,b20005b058_moe,b20005b059,b20005b059_moe,b20005b060,b20005b060_moe,b20005b061,b20005b061_moe,b20005b062,b20005b062_moe,b20005b063,b20005b063_moe,b20005b064,b20005b064_moe,b20005b065,b20005b065_moe,b20005b066,b20005b066_moe,b20005b067,b20005b067_moe,b20005b068,b20005b068_moe,b20005b069,b20005b069_moe,b20005b070,b20005b070_moe,b20005b071,b20005b071_moe,b20005b072,b20005b072_moe,b20005b073,b20005b073_moe,b20005b074,b20005b074_moe,b20005b075,b20005b075_moe,b20005b076,b20005b076_moe,b20005b077,b20005b077_moe,b20005b078,b20005b078_moe,b20005b079,b20005b079_moe,b20005b080,b20005b080_moe,b20005b081,b20005b081_moe,b20005b082,b20005b082_moe,b20005b083,b20005b083_moe,b20005b084,b20005b084_moe,b20005b085,b20005b085_moe,b20005b086,b20005b086_moe,b20005b087,b20005b087_moe,b20005b088,b20005b088_moe,b20005b089,b20005b089_moe,b20005b090,b20005b090_moe,b20005b091,b20005b091_moe,b20005b092,b20005b092_moe,b20005b093,b20005b093_moe,b20005b094,b20005b094_moe,b20005b095,b20005b095_moe
1,Southwest,846,254,522,185,304,155,0,48,304,155,0,48,0,48,17,51,0,48,85,109,0,48,0,48,0,48,69,88,0,48,0,48,0,48,0,48,12,51,0,48,15,51,48,70,28,54,13,50,17,52,218,96,71,62,147,86,28,53,0,48,41,62,0,48,0,48,0,48,18,53,0,48,27,62,0,48,0,48,10,48,0,48,0,48,0,48,0,48,23,58,0,48,0,48,0,48,324,160,168,105,0,48,168,105,0,48,0,48,0,48,0,48,40,61,0,48,0,48,0,48,0,48,14,51,0,48,7,48,43,81,0,48,0,48,0,48,0,48,0,48,40,62,24,59,156,122,115,116,41,62,8,49,0,48,33,59,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,3226,483,1321,253,366,149,0,38,366,149,0,38,0,38,0,38,0,38,9,40,0,38,29,44,16,41,0,38,0,38,61,69,10,40,139,119,10,40,0,38,32,48,38,56,9,39,13,41,0,38,955,205,373,132,582,162,87,95,79,83,93,79,26,56,20,50,76,58,44,49,0,38,0,38,0,38,23,51,18,44,0,38,0,38,30,65,54,75,14,40,0,38,0,38,18,46,1905,321,793,233,0,38,793,233,0,38,0,38,0,38,113,119,39,46,26,43,0,38,20,48,25,49,42,61,74,73,20,48,92,82,68,84,0,38,11,40,92,66,53,90,13,41,105,108,1112,233,636,175,476,204,71,101,41,55,0,38,64,110,40,61,6,38,33,54,27,47,86,82,16,43,0,38,37,62,55,88,0,38,0,38,0,38,0,38,0,38,0,38,0,38
3,Greater Duwamish,5552,675,2641,432,930,258,0,45,930,258,0,45,0,45,0,45,71,80,8,43,0,45,78,93,34,63,41,60,27,51,145,98,66,82,53,75,63,88,21,55,37,55,72,83,13,48,107,111,94,87,1711,355,883,292,828,259,104,88,151,116,80,75,13,52,57,68,49,60,71,81,17,50,43,60,0,45,82,91,72,95,44,83,0,45,31,52,0,45,0,45,14,49,0,45,0,45,2911,422,755,217,0,45,755,217,0,45,14,48,0,45,0,45,16,50,17,50,54,76,0,45,111,100,45,64,63,62,97,87,101,82,17,47,42,65,44,59,86,75,9,45,39,53,0,45,2156,343,1183,251,973,261,198,119,113,100,21,56,84,94,140,104,133,152,118,95,74,91,33,54,29,58,30,54,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
4,Southeast,9119,855,4486,571,1546,357,0,45,1546,357,0,45,0,45,0,45,21,54,15,50,27,58,114,130,79,123,68,77,12,47,285,164,106,98,45,57,218,112,91,94,88,75,168,153,103,90,75,97,31,53,2940,511,1611,307,1329,382,275,161,66,64,126,101,51,74,94,116,25,51,62,69,128,112,28,60,95,111,119,109,66,88,23,54,7,46,54,77,58,77,0,45,0,45,26,51,26,58,4633,558,1446,326,0,45,1446,326,11,47,54,79,0,45,0,45,38,71,0,45,0,45,0,45,51,60,29,53,156,112,127,104,242,151,161,124,101,95,252,174,58,60,40,54,83,71,43,54,3187,488,1958,353,1229,299,163,121,125,111,93,70,47,60,149,88,46,61,20,52,47,55,127,124,43,58,156,97,90,107,36,63,23,55,16,50,32,63,16,48,0,45,0,45,0,45
5,Central,5448,662,2693,455,1000,303,0,34,1000,303,0,34,8,35,22,46,0,34,43,56,20,44,16,37,55,56,85,76,0,34,38,46,135,102,32,47,136,125,39,55,27,42,34,49,63,81,156,112,91,67,1693,368,1071,258,622,242,122,124,35,49,0,34,120,124,48,50,47,64,62,63,18,41,36,51,0,34,7,34,10,36,1,33,0,34,0,34,32,58,0,34,0,34,64,97,20,44,2755,443,902,234,0,34,902,234,0,34,0,34,16,41,0,34,0,34,18,43,30,61,0,34,8,34,18,43,104,117,145,119,149,85,62,53,29,47,62,52,113,104,15,41,86,72,47,52,1853,356,1458,339,395,141,73,59,69,55,0,34,86,95,6,34,31,47,0,34,38,57,19,44,42,54,14,39,0,34,0,34,17,42,0,34,0,34,0,34,0,34,0,34,0,34
6,East,3165,465,1891,331,549,201,0,47,549,201,0,47,10,49,0,47,0,47,24,58,0,47,0,47,12,49,28,52,86,105,126,110,22,59,36,60,18,53,30,57,39,78,0,47,34,57,28,54,56,60,1342,278,899,212,443,166,132,90,31,50,53,72,17,51,10,49,28,63,0,47,9,48,0,47,19,50,19,54,72,73,0,47,24,56,15,51,0,47,14,50,0,47,0,47,0,47,1274,283,346,137,0,47,346,137,0,47,0,47,37,67,0,47,0,47,0,47,8,48,28,54,0,47,0,47,16,51,40,65,11,48,33,62,29,54,34,58,48,75,0,47,21,48,41,56,928,243,561,174,367,175,67,70,0,47,22,51,123,107,7,47,0,47,115,120,12,48,0,47,0,47,3,45,0,47,0,47,0,47,0,47,0,47,0,47,18,53,0,47,0,47
7,Northeast,1480,355,867,266,268,123,0,59,268,123,0,59,0,59,0,59,0,59,0,59,32,65,0,59,12,60,0,59,0,59,0,59,46,68,0,59,54,82,0,59,9,59,7,59,0,59,19,60,89,88,599,212,229,133,370,161,30,62,11,60,67,91,41,69,19,59,0,59,17,63,0,59,95,107,0,59,64,90,7,58,0,59,0,59,0,59,0,59,0,59,0,59,0,59,19,65,613,205,108,80,0,59,108,80,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,16,62,10,60,30,64,0,59,0,59,6,59,24,62,22,62,0,59,505,186,228,127,277,142,85,107,19,65,41,86,28,69,32,66,3,58,14,61,0,59,0,59,0,59,18,65,0,59,0,59,37,80,0,59,0,59,0,59,0,59,0,59,0,59
8,North,1594,393,945,294,305,139,0,43,305,139,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,28,48,0,43,0,43,40,75,30,54,24,54,0,43,38,68,0,43,25,49,68,79,52,63,640,217,259,133,381,180,45,72,44,81,30,54,19,49,20,50,32,54,0,43,13,45,31,61,0,43,84,103,40,70,0,43,0,43,14,48,0,43,0,43,9,44,0,43,0,43,649,215,232,140,0,43,232,140,0,43,0,43,0,43,0,43,0,43,48,85,0,43,18,49,47,82,0,43,30,63,0,43,12,48,16,48,0,43,32,53,0,43,0,43,0,43,29,50,417,158,161,96,256,129,48,57,40,81,0,43,7,44,11,46,0,43,0,43,0,43,17,49,56,73,0,43,0,43,41,80,0,43,0,43,13,45,11,46,0,43,12,46,0,43
9,Northwest,2287,479,1200,299,628,208,0,54,628,208,0,54,0,54,0,54,20,60,77,107,0,54,0,54,30,70,0,54,10,54,69,81,64,77,19,59,29,61,108,107,79,98,35,64,26,60,28,60,34,65,572,209,323,158,249,128,17,57,21,62,0,54,78,95,20,60,55,68,0,54,0,54,0,54,0,54,11,56,0,54,16,57,0,54,0,54,31,65,0,54,0,54,0,54,0,54,1087,274,386,197,0,54,386,197,0,54,0,54,0,54,0,54,36,74,0,54,0,54,76,107,46,89,51,97,68,110,22,62,0,54,32,63,7,53,0,54,36,63,0,54,12,55,0,54,701,200,383,151,318,135,33,72,37,65,0,54,68,72,20,61,31,61,1,52,42,77,25,58,28,60,33,62,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
10,Ballard,280,147,138,104,86,81,0,43,86,81,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,18,49,0,43,46,70,22,52,0,43,0,43,0,43,0,43,0,43,52,78,16,49,36,57,33,54,3,42,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,142,108,36,58,0,43,36,58,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,3,42,16,48,0,43,0,43,0,43,17,48,0,43,106,106,37,56,69,85,0,43,0,43,0,43,0,43,0,43,0,43,0,43,22,53,0,43,0,43,0,43,47,80,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
