area_id,area_name,b22005h001,b22005h001_moe,b22005h002,b22005h002_moe,b22005h003,b22005h003_moe
1,Southwest,20469,466,604,184,19865,475
2,Delridge Neighborhoods,9091,408,832,206,8259,406
3,Greater Duwamish,5209,361,380,123,4829,350
4,Southeast,7344,400,517,179,6827,392
5,Central,8325,385,379,161,7946,380
6,East,22584,689,1190,262,21394,689
7,Northeast,23951,540,716,217,23235,553
8,North,13724,450,1044,208,12680,463
9,Northwest,26201,559,1393,268,24808,591
10,Ballard,18746,379,727,196,18019,404
11,Lake Union,18899,592,1113,248,17786,584
12,Magnolia/Queen Anne,25082,584,728,178,24354,591
13,Downtown,7227,437,1267,248,5960,406
