area_id,area_name,b25003f001,b25003f001_moe,b25003f002,b25003f002_moe,b25003f003,b25003f003_moe
1,Southwest,45,54,28,52,17,51
2,Delridge Neighborhoods,328,143,43,54,285,134
3,Greater Duwamish,230,115,25,53,205,111
4,Southeast,236,123,131,87,105,96
5,Central,109,66,66,54,43,50
6,East,258,104,34,50,224,101
7,Northeast,306,164,34,60,272,163
8,North,377,151,32,49,345,149
9,Northwest,562,193,147,80,415,181
10,Ballard,156,95,14,45,142,94
11,Lake Union,271,153,51,73,220,140
12,Magnolia/Queen Anne,186,104,82,70,104,91
13,Downtown,178,115,7,29,171,115
