area_id,area_name,b25004001,b25004001_moe,b25004002,b25004002_moe,b25004003,b25004003_moe,b25004004,b25004004_moe,b25004005,b25004005_moe,b25004006,b25004006_moe,b25004007,b25004007_moe,b25004008,b25004008_moe
1,Southwest,1479,365,417,207,91,100,127,105,141,124,160,118,0,48,543,229
2,Delridge Neighborhoods,1208,315,625,232,38,53,265,161,0,38,0,38,0,38,280,159
3,Greater Duwamish,1098,266,199,119,104,102,214,122,0,45,63,75,0,45,518,190
4,Southeast,1571,355,569,228,42,78,299,162,122,105,44,64,0,45,495,205
5,Central,1070,285,260,156,50,66,181,133,22,49,150,117,0,34,407,166
6,East,2005,393,464,207,254,138,329,184,0,47,399,177,0,47,559,222
7,Northeast,1648,342,331,163,166,124,147,118,131,121,205,127,0,59,668,217
8,North,1360,314,349,183,67,87,315,155,0,43,109,93,0,43,520,190
9,Northwest,2268,391,637,241,49,73,324,164,38,68,134,107,0,54,1086,289
10,Ballard,1065,303,299,163,115,149,176,148,61,80,88,92,0,43,326,174
11,Lake Union,2329,472,772,319,193,134,387,195,39,74,267,147,0,42,671,249
12,Magnolia/Queen Anne,2286,430,672,243,209,135,236,162,110,98,162,118,12,52,885,288
13,Downtown,1831,348,334,168,119,111,75,75,38,65,937,271,0,29,328,157
