area_id,area_name,b25011001,b25011001_moe,b25011002,b25011002_moe,b25011003,b25011003_moe,b25011004,b25011004_moe,b25011005,b25011005_moe,b25011006,b25011006_moe,b25011007,b25011007_moe,b25011008,b25011008_moe,b25011009,b25011009_moe,b25011010,b25011010_moe,b25011011,b25011011_moe,b25011012,b25011012_moe,b25011013,b25011013_moe,b25011014,b25011014_moe,b25011015,b25011015_moe,b25011016,b25011016_moe,b25011017,b25011017_moe,b25011018,b25011018_moe,b25011019,b25011019_moe,b25011020,b25011020_moe,b25011021,b25011021_moe,b25011022,b25011022_moe,b25011023,b25011023_moe,b25011024,b25011024_moe,b25011025,b25011025_moe,b25011026,b25011026_moe,b25011027,b25011027_moe,b25011028,b25011028_moe,b25011029,b25011029_moe,b25011030,b25011030_moe,b25011031,b25011031_moe,b25011032,b25011032_moe,b25011033,b25011033_moe,b25011034,b25011034_moe,b25011035,b25011035_moe,b25011036,b25011036_moe,b25011037,b25011037_moe,b25011038,b25011038_moe,b25011039,b25011039_moe,b25011040,b25011040_moe,b25011041,b25011041_moe,b25011042,b25011042_moe,b25011043,b25011043_moe,b25011044,b25011044_moe,b25011045,b25011045_moe,b25011046,b25011046_moe,b25011047,b25011047_moe,b25011048,b25011048_moe,b25011049,b25011049_moe
1,Southwest,23226,383,14808,462,9091,408,8100,408,920,205,5895,356,1285,170,991,202,242,89,14,51,173,78,55,56,749,186,118,87,471,146,160,81,5717,445,4222,384,176,98,2300,302,1746,243,1495,262,159,109,962,201,374,146,8418,488,2524,357,1478,276,595,161,767,189,116,112,1046,248,220,128,38,61,172,119,10,48,826,210,253,134,573,177,0,48,5894,456,4543,400,1226,240,2387,332,930,196,1351,260,938,209,387,153,26,51
2,Delridge Neighborhoods,14850,356,7724,382,4517,316,3469,301,606,157,2356,244,507,114,1048,192,376,130,0,38,365,132,11,37,672,145,72,59,473,125,127,70,3207,336,2367,281,398,139,1442,233,527,120,840,209,215,105,557,177,68,57,7126,444,3381,382,1737,297,625,197,957,229,155,86,1644,311,382,168,261,155,121,71,0,38,1262,273,453,187,787,204,22,39,3745,392,2738,350,601,196,1335,253,802,193,1007,230,616,182,359,148,32,42
3,Greater Duwamish,16086,331,8359,418,5974,384,4357,358,605,176,3049,300,703,137,1617,261,487,157,158,101,310,120,19,52,1130,222,64,58,785,198,281,108,2385,298,1786,251,63,59,980,189,743,155,599,161,211,107,375,118,13,46,7727,450,4049,388,2268,329,861,224,1186,239,221,125,1781,298,578,171,257,126,289,112,32,60,1203,277,387,150,685,247,131,100,3678,366,2694,326,606,175,1161,237,927,181,984,231,606,185,342,145,36,60
4,Southeast,17612,387,10861,427,7371,422,5496,369,553,163,3907,308,1036,158,1875,294,373,132,26,48,295,123,52,56,1502,284,94,84,1103,247,305,117,3490,350,2690,325,85,74,1734,278,871,171,800,179,81,66,626,161,93,64,6751,473,3327,401,1534,329,525,219,761,224,248,108,1793,327,578,178,210,114,294,142,74,76,1215,280,373,185,785,229,57,59,3424,417,2465,358,376,164,1592,308,497,144,959,257,333,155,618,206,8,45
5,Central,13921,329,6894,359,3904,317,3284,299,413,129,2364,255,507,109,620,159,159,82,0,34,149,84,10,36,461,144,41,51,232,109,188,98,2990,327,2176,295,179,78,1482,252,515,133,814,178,199,108,517,133,98,62,7027,395,1923,281,1028,221,444,168,456,149,128,63,895,234,159,101,88,81,57,67,14,39,736,215,212,122,507,182,17,35,5104,377,3537,325,1069,239,1410,264,1058,163,1567,277,1221,240,338,138,8,34
6,East,29701,474,8008,453,3290,297,3084,288,339,130,1992,239,753,144,206,84,54,58,0,47,32,52,22,50,152,77,0,47,104,66,48,58,4718,425,3819,408,667,186,2263,349,889,178,899,191,266,101,529,154,104,66,21693,578,3624,423,2650,392,1593,349,750,197,307,96,974,216,304,125,217,120,87,65,0,47,670,196,298,151,364,150,8,47,18069,655,13781,664,6225,530,5714,512,1842,278,4288,466,3544,429,721,210,23,51
7,Northeast,30311,401,16806,426,11647,400,10204,400,857,180,7436,359,1911,182,1443,229,376,130,22,61,230,108,124,80,1067,197,65,65,755,168,247,100,5159,390,4084,349,341,117,2169,274,1574,203,1075,192,215,99,625,144,235,100,13505,502,3092,356,2107,289,1066,208,926,197,115,79,985,215,342,130,241,116,101,83,0,59,643,173,326,132,254,112,63,72,10413,499,6299,462,3460,388,2097,322,742,172,4114,417,3820,396,279,131,15,60
8,North,19461,351,9074,354,5636,312,4894,316,727,180,3384,245,783,144,742,159,237,94,12,44,167,78,58,57,505,131,0,43,282,92,223,92,3438,327,2741,304,305,145,1596,225,840,182,697,164,236,99,408,135,53,57,10387,449,3529,404,1914,297,837,190,877,221,200,99,1615,300,536,180,411,170,125,65,0,43,1079,247,463,178,552,181,64,62,6858,459,5691,455,1848,298,2547,359,1296,231,1167,221,935,206,215,89,17,44
9,Northwest,33168,437,17569,559,10980,481,9467,478,1616,268,6645,380,1206,177,1513,229,391,127,0,54,331,120,60,63,1122,196,87,75,729,161,306,112,6589,483,4831,417,578,165,2798,312,1455,237,1758,277,460,145,1176,220,122,80,15599,594,4472,448,3223,408,1575,316,1382,261,266,129,1249,247,254,107,48,66,185,95,21,55,995,230,343,151,563,172,89,74,11127,578,7486,523,2535,387,2891,358,2060,273,3641,451,2847,402,753,212,41,64
10,Ballard,21236,330,11602,423,7213,336,6397,336,883,186,4673,289,841,122,816,176,252,109,10,43,211,105,31,46,564,145,0,43,454,131,110,73,4389,368,3451,346,279,109,2054,284,1118,191,938,182,332,109,505,137,101,70,9634,493,3326,410,2286,359,1044,272,1118,245,124,89,1040,247,324,153,183,116,141,103,0,43,716,188,207,111,409,144,100,97,6308,477,4180,397,1517,294,2040,290,623,153,2128,362,1618,319,483,209,27,47
