area_id,area_name,b25014c001,b25014c001_moe,b25014c002,b25014c002_moe,b25014c003,b25014c003_moe
1,Southwest,103,70,103,70,0,48
2,Delridge Neighborhoods,139,89,139,89,0,38
3,Greater Duwamish,122,68,122,68,0,45
4,Southeast,107,72,92,67,15,48
5,Central,94,66,94,66,0,34
6,East,449,166,449,166,0,47
7,Northeast,114,77,114,77,0,59
8,North,177,91,156,82,21,54
9,Northwest,249,108,249,108,0,54
10,Ballard,65,59,65,59,0,43
11,Lake Union,358,165,310,152,48,85
12,Magnolia/Queen Anne,205,116,205,116,0,51
13,Downtown,140,99,140,99,0,29
