area_id,area_name,b25017001,b25017001_moe,b25017002,b25017002_moe,b25017003,b25017003_moe,b25017004,b25017004_moe,b25017005,b25017005_moe,b25017006,b25017006_moe,b25017007,b25017007_moe,b25017008,b25017008_moe,b25017009,b25017009_moe,b25017010,b25017010_moe
1,Southwest,24705,186,310,155,972,223,2783,360,4136,428,4102,418,3666,383,3221,365,2405,315,3110,337
2,Delridge Neighborhoods,16058,200,287,145,554,157,2355,337,3922,413,2999,348,2368,294,1594,253,975,227,1004,191
3,Greater Duwamish,17184,222,507,176,815,199,1797,292,3566,401,3574,382,2259,298,1831,284,1488,262,1347,232
4,Southeast,19183,222,140,87,449,147,1972,346,3273,432,2992,380,3181,349,2525,363,2115,307,2536,298
5,Central,14991,205,881,209,978,204,2519,304,2366,334,2253,324,1957,284,1284,220,1070,235,1683,205
6,East,31706,304,3988,498,5664,552,9092,683,6040,521,2370,319,1420,288,757,173,619,163,1756,226
7,Northeast,31959,284,1830,340,2385,322,4158,427,4278,416,3267,358,3284,358,3696,340,3328,334,5733,370
8,North,20821,195,1042,276,1856,313,3899,405,3550,404,2897,351,2193,317,2180,265,1435,223,1769,233
9,Northwest,35436,245,1358,293,2850,400,5615,485,6689,588,5499,461,4478,416,3376,370,2300,322,3271,330
10,Ballard,22301,158,751,255,1455,316,3097,389,3773,375,3466,412,3214,361,2266,291,1895,275,2384,271
11,Lake Union,26849,283,3483,491,3704,435,6463,557,5109,506,2680,343,1730,255,1159,180,859,171,1662,239
12,Magnolia/Queen Anne,32260,226,1646,359,3199,420,6808,533,5840,519,3423,398,2883,359,2670,321,2036,299,3755,356
13,Downtown,13241,230,3617,409,3168,352,2879,371,2035,318,760,187,324,140,152,101,43,50,263,79
