area_id,area_name,b25093001,b25093001_moe,b25093002,b25093002_moe,b25093003,b25093003_moe,b25093004,b25093004_moe,b25093005,b25093005_moe,b25093006,b25093006_moe,b25093007,b25093007_moe,b25093008,b25093008_moe,b25093009,b25093009_moe,b25093010,b25093010_moe,b25093011,b25093011_moe,b25093012,b25093012_moe,b25093013,b25093013_moe,b25093014,b25093014_moe,b25093015,b25093015_moe,b25093016,b25093016_moe,b25093017,b25093017_moe,b25093018,b25093018_moe,b25093019,b25093019_moe,b25093020,b25093020_moe,b25093021,b25093021_moe,b25093022,b25093022_moe,b25093023,b25093023_moe,b25093024,b25093024_moe,b25093025,b25093025_moe,b25093026,b25093026_moe,b25093027,b25093027_moe,b25093028,b25093028_moe,b25093029,b25093029_moe
1,Southwest,14808,462,26,54,0,48,0,48,15,51,0,48,11,48,0,48,1361,250,431,146,273,130,175,94,161,96,285,116,36,60,9801,423,4013,368,1631,242,995,208,945,214,2170,291,47,54,3620,250,1651,219,557,140,284,107,226,95,885,175,17,53
2,Delridge Neighborhoods,7724,382,19,42,0,38,0,38,0,38,15,43,4,37,0,38,1272,234,395,138,190,81,210,89,184,102,293,118,0,38,5193,347,1572,218,833,186,830,169,464,125,1447,251,47,82,1240,142,642,128,113,63,120,66,48,53,317,101,0,38
3,Greater Duwamish,8359,418,155,103,82,84,0,45,0,45,0,45,73,74,0,45,946,212,285,141,175,101,158,97,107,69,221,90,0,45,5499,378,1797,247,903,202,526,140,611,155,1613,237,49,63,1759,200,862,163,121,69,175,82,81,63,520,135,0,45
4,Southeast,10861,427,96,77,8,45,0,45,15,47,0,45,73,74,0,45,743,186,159,87,284,123,29,48,75,88,196,98,0,45,7665,389,2492,292,1170,236,890,216,613,146,2427,338,73,67,2357,222,1004,161,228,92,246,107,172,81,707,160,0,45
5,Central,6894,359,61,81,0,34,0,34,46,80,0,34,15,37,0,34,771,170,211,90,114,73,268,112,76,55,102,69,0,34,4744,334,1889,231,693,175,471,139,398,141,1246,231,47,53,1318,164,400,101,157,85,88,56,139,65,519,149,15,37
6,East,8008,453,103,83,16,47,0,47,0,47,16,51,71,78,0,47,1169,228,312,125,346,139,78,62,202,96,231,118,0,47,4920,395,1858,276,766,188,572,169,493,152,1215,255,16,51,1816,208,842,168,216,92,197,91,40,62,491,131,30,53
7,Northeast,16806,426,84,67,7,59,21,60,0,59,0,59,56,65,0,59,1416,223,272,106,300,100,202,92,166,106,447,143,29,64,11215,407,5558,365,1536,218,1205,199,806,164,2092,279,18,61,4091,222,2393,216,404,117,338,114,150,81,795,155,11,60
8,North,9074,354,47,53,0,43,0,43,0,43,3,42,30,49,14,45,1233,236,268,105,207,94,213,94,174,108,371,155,0,43,5837,312,2398,237,790,160,728,152,418,116,1488,228,15,44,1957,204,886,158,209,87,128,66,150,89,584,146,0,43
9,Northwest,17569,559,114,88,65,81,0,54,0,54,0,54,49,63,0,54,2627,348,691,174,585,177,421,145,219,106,711,204,0,54,11679,470,4504,357,1867,279,1426,244,1010,203,2860,328,12,55,3149,254,1584,203,369,114,253,106,172,94,760,164,11,55
10,Ballard,11602,423,52,65,0,43,14,46,0,43,38,62,0,43,0,43,1452,235,375,115,319,105,170,82,159,77,429,157,0,43,7897,371,2987,307,1216,212,1005,208,861,185,1747,265,81,75,2201,200,1181,166,211,85,139,68,84,54,586,156,0,43
11,Lake Union,7184,387,71,58,15,45,0,42,0,42,6,41,50,53,0,42,1319,223,482,151,211,95,177,83,125,74,324,116,0,42,4737,330,1792,239,768,172,591,148,471,126,1115,196,0,42,1057,133,638,119,113,60,46,55,21,44,239,93,0,42
12,Magnolia/Queen Anne,14092,515,65,58,8,51,13,52,0,51,0,51,44,53,0,51,1503,266,342,121,427,153,239,107,99,73,396,140,0,51,9361,461,3918,367,1218,211,1005,190,591,151,2531,341,98,82,3163,274,1320,200,464,147,237,97,214,94,913,193,15,54
13,Downtown,2175,304,29,40,0,29,0,29,11,32,18,38,0,29,0,29,387,145,35,40,63,64,31,34,103,95,143,85,12,32,1212,250,535,164,213,99,48,54,68,49,339,168,9,31,547,135,226,108,98,74,91,84,24,37,108,77,0,29
