area_id,area_name,b25098001,b25098001_moe,b25098002,b25098002_moe,b25098003,b25098003_moe,b25098004,b25098004_moe,b25098005,b25098005_moe,b25098006,b25098006_moe,b25098007,b25098007_moe,b25098008,b25098008_moe,b25098009,b25098009_moe,b25098010,b25098010_moe,b25098011,b25098011_moe,b25098012,b25098012_moe,b25098013,b25098013_moe,b25098014,b25098014_moe,b25098015,b25098015_moe,b25098016,b25098016_moe,b25098017,b25098017_moe,b25098018,b25098018_moe,b25098019,b25098019_moe
1,Southwest,14808,462,11140,462,112,67,432,150,305,128,485,134,1350,219,1506,238,3088,342,3862,369,3668,315,143,83,448,125,503,147,571,148,571,148,609,152,403,121,420,121
2,Delridge Neighborhoods,7724,382,6291,376,39,45,163,74,218,105,516,170,1479,237,1009,203,1662,249,1205,207,1433,204,96,88,242,87,237,92,246,95,223,95,230,88,92,62,67,56
3,Greater Duwamish,8359,418,5975,414,97,76,301,98,181,82,723,175,1379,242,1023,198,1424,237,847,207,2384,262,113,63,495,129,288,99,324,107,505,130,273,113,275,106,111,71
4,Southeast,10861,427,8541,431,97,71,406,134,300,119,730,197,1702,280,1661,280,1855,267,1790,262,2320,264,144,84,338,104,233,99,294,107,382,126,235,85,308,101,386,128
5,Central,6894,359,5511,372,137,93,191,120,294,117,362,130,708,189,785,198,1133,192,1901,240,1383,205,91,60,192,96,142,83,137,73,218,88,140,63,196,102,267,97
6,East,8008,453,6038,424,140,101,184,103,260,116,449,161,877,200,910,226,1275,229,1943,266,1970,265,152,81,112,60,165,94,174,86,313,114,133,71,366,125,555,154
7,Northeast,16806,426,12154,459,131,81,266,100,241,116,481,127,1326,214,1513,252,2820,294,5376,356,4652,310,116,73,504,127,315,102,499,125,732,151,606,148,787,157,1093,190
8,North,9074,354,6631,384,98,77,256,96,257,129,522,146,1058,196,1055,189,1854,246,1531,217,2443,259,161,79,491,140,202,99,353,116,450,137,272,91,310,96,204,77
9,Northwest,17569,559,13484,559,191,107,294,105,554,152,1091,233,1888,276,2079,273,3828,392,3559,340,4085,342,283,131,515,146,452,123,572,138,718,156,524,142,478,129,543,127
10,Ballard,11602,423,8536,417,165,103,208,92,239,93,463,146,1283,224,1535,261,2517,286,2126,253,3066,304,143,83,322,113,236,87,432,135,757,161,373,113,431,126,372,114
11,Lake Union,7184,387,5717,399,67,60,175,76,59,51,237,100,841,202,780,171,1521,230,2037,267,1467,192,75,62,121,64,131,72,124,86,229,88,296,102,210,81,281,88
12,Magnolia/Queen Anne,14092,515,11037,516,201,116,338,123,315,120,642,181,1518,277,1218,251,2451,302,4354,360,3055,319,65,64,209,98,316,122,327,107,611,170,507,138,343,110,677,179
13,Downtown,2175,304,1552,277,45,44,9,31,20,34,80,63,226,145,289,127,326,128,557,173,623,197,14,35,36,39,61,74,70,78,163,119,30,42,48,45,201,104
