area_id,area_name,b25121001,b25121001_moe,b25121002,b25121002_moe,b25121003,b25121003_moe,b25121004,b25121004_moe,b25121005,b25121005_moe,b25121006,b25121006_moe,b25121007,b25121007_moe,b25121008,b25121008_moe,b25121009,b25121009_moe,b25121010,b25121010_moe,b25121011,b25121011_moe,b25121012,b25121012_moe,b25121013,b25121013_moe,b25121014,b25121014_moe,b25121015,b25121015_moe,b25121016,b25121016_moe,b25121017,b25121017_moe,b25121018,b25121018_moe,b25121019,b25121019_moe,b25121020,b25121020_moe,b25121021,b25121021_moe,b25121022,b25121022_moe,b25121023,b25121023_moe,b25121024,b25121024_moe,b25121025,b25121025_moe,b25121026,b25121026_moe,b25121027,b25121027_moe,b25121028,b25121028_moe,b25121029,b25121029_moe,b25121030,b25121030_moe,b25121031,b25121031_moe,b25121032,b25121032_moe,b25121033,b25121033_moe,b25121034,b25121034_moe,b25121035,b25121035_moe,b25121036,b25121036_moe,b25121037,b25121037_moe,b25121038,b25121038_moe,b25121039,b25121039_moe,b25121040,b25121040_moe,b25121041,b25121041_moe,b25121042,b25121042_moe,b25121043,b25121043_moe,b25121044,b25121044_moe,b25121045,b25121045_moe,b25121046,b25121046_moe,b25121047,b25121047_moe,b25121048,b25121048_moe,b25121049,b25121049_moe,b25121050,b25121050_moe,b25121051,b25121051_moe,b25121052,b25121052_moe,b25121053,b25121053_moe,b25121054,b25121054_moe,b25121055,b25121055_moe,b25121056,b25121056_moe,b25121057,b25121057_moe,b25121058,b25121058_moe,b25121059,b25121059_moe,b25121060,b25121060_moe,b25121061,b25121061_moe,b25121062,b25121062_moe,b25121063,b25121063_moe,b25121064,b25121064_moe,b25121065,b25121065_moe,b25121066,b25121066_moe,b25121067,b25121067_moe,b25121068,b25121068_moe,b25121069,b25121069_moe,b25121070,b25121070_moe,b25121071,b25121071_moe,b25121072,b25121072_moe,b25121073,b25121073_moe,b25121074,b25121074_moe,b25121075,b25121075_moe,b25121076,b25121076_moe,b25121077,b25121077_moe,b25121078,b25121078_moe,b25121079,b25121079_moe,b25121080,b25121080_moe,b25121081,b25121081_moe,b25121082,b25121082_moe,b25121083,b25121083_moe,b25121084,b25121084_moe,b25121085,b25121085_moe,b25121086,b25121086_moe,b25121087,b25121087_moe,b25121088,b25121088_moe,b25121089,b25121089_moe,b25121090,b25121090_moe,b25121091,b25121091_moe,b25121092,b25121092_moe,b25121093,b25121093_moe,b25121094,b25121094_moe,b25121095,b25121095_moe,b25121096,b25121096_moe,b25121097,b25121097_moe,b25121098,b25121098_moe,b25121099,b25121099_moe,b25121100,b25121100_moe,b25121101,b25121101_moe,b25121102,b25121102_moe,b25121103,b25121103_moe,b25121104,b25121104_moe,b25121105,b25121105_moe,b25121106,b25121106_moe
1,Southwest,14808,462,255,102,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,28,53,0,48,153,82,74,66,574,162,16,52,0,48,0,48,0,48,16,51,0,48,0,48,0,48,0,48,0,48,32,67,10,49,335,125,165,86,1114,225,0,48,7,48,0,48,0,48,0,48,51,93,0,48,0,48,0,48,0,48,12,49,43,65,775,187,226,89,1056,199,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,40,53,77,67,625,156,314,106,1921,261,0,48,0,48,15,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,35,51,199,86,1156,205,516,143,2115,287,0,48,0,48,0,48,18,53,0,48,0,48,0,48,0,48,0,48,0,48,87,68,80,63,1367,232,563,146,7773,414,13,50,0,48,0,48,6,48,0,48,0,48,0,48,0,48,14,50,0,48,39,56,133,78,3546,346,4022,354
2,Delridge Neighborhoods,7724,382,135,91,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,25,43,15,38,57,83,19,41,19,46,222,83,12,41,0,38,0,38,0,38,0,38,0,38,0,38,0,38,11,40,0,38,26,42,33,46,110,61,30,47,638,147,0,38,0,38,8,38,9,39,0,38,13,41,0,38,0,38,14,43,15,43,149,91,84,55,335,103,11,41,762,192,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,139,88,211,127,385,119,27,45,1702,248,12,41,0,38,45,62,12,41,0,38,11,39,0,38,0,38,0,38,0,38,100,67,274,99,1192,214,56,52,1239,219,0,38,0,38,0,38,0,38,0,38,15,42,0,38,0,38,0,38,0,38,115,65,172,83,911,188,26,50,3026,292,0,38,0,38,0,38,12,41,0,38,0,38,0,38,0,38,0,38,0,38,77,52,252,98,2220,268,465,152
3,Greater Duwamish,8359,418,210,93,10,46,0,45,0,45,5,45,0,45,0,45,0,45,0,45,0,45,13,47,19,52,13,48,133,77,17,47,537,132,21,51,0,45,0,45,17,51,11,47,7,45,0,45,0,45,0,45,6,44,67,60,57,53,301,104,50,56,728,153,7,45,10,46,0,45,0,45,0,45,0,45,0,45,0,45,7,45,0,45,87,66,90,60,511,131,16,48,1047,207,0,45,0,45,0,45,18,52,0,45,0,45,0,45,0,45,0,45,0,45,98,67,143,75,729,179,59,64,1884,268,0,45,0,45,0,45,0,45,31,55,0,45,0,45,0,45,0,45,0,45,139,78,209,91,1451,242,54,65,1296,220,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,37,51,193,106,996,181,70,88,2657,321,0,45,0,45,31,58,0,45,0,45,0,45,0,45,0,45,0,45,19,54,63,58,178,84,1989,295,377,137
4,Southeast,10861,427,241,105,0,45,0,45,7,45,16,49,0,45,0,45,0,45,0,45,0,45,0,45,47,68,30,52,108,74,33,57,422,124,9,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,16,50,31,52,22,47,288,107,56,53,855,191,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,58,55,80,62,553,159,164,94,1024,220,0,45,0,45,15,47,13,47,5,43,13,48,0,45,0,45,0,45,0,45,166,109,109,85,577,159,126,70,2084,299,16,49,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,138,102,203,93,1305,236,422,142,1896,298,0,45,0,45,42,59,12,47,0,45,0,45,0,45,0,45,0,45,0,45,127,108,215,91,1282,255,218,92,4339,345,0,45,0,45,0,45,13,46,14,48,0,45,7,44,0,45,0,45,0,45,68,69,168,90,2232,297,1837,232
5,Central,6894,359,228,108,15,40,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,15,40,5,33,158,96,35,42,292,142,12,38,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,16,40,0,34,102,62,162,124,527,141,16,39,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,18,35,37,48,343,116,113,75,499,147,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,60,49,76,52,281,123,82,59,926,205,0,34,8,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,99,96,171,88,411,135,237,99,925,208,0,34,0,34,0,34,0,34,9,35,0,34,0,34,0,34,0,34,0,34,17,42,49,46,505,147,345,148,3497,302,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,93,83,72,61,1412,224,1920,214
6,East,8008,453,292,125,0,47,0,47,0,47,0,47,15,51,0,47,0,47,0,47,0,47,16,49,33,62,7,47,156,101,65,64,99,63,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,32,51,0,47,39,56,28,51,622,177,0,47,0,47,12,48,30,65,14,50,0,47,0,47,0,47,0,47,0,47,82,84,56,61,175,94,253,112,623,179,0,47,0,47,0,47,0,47,0,47,0,47,18,50,0,47,0,47,0,47,99,89,86,65,271,131,149,85,1190,227,0,47,0,47,0,47,0,47,6,46,0,47,0,47,37,73,0,47,0,47,119,80,186,92,585,178,257,94,1043,232,0,47,0,47,0,47,24,58,0,47,0,47,0,47,0,47,0,47,0,47,65,67,199,116,473,173,282,96,4139,355,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,84,67,138,85,1265,249,2652,260
7,Northeast,16806,426,247,97,10,60,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,9,60,21,60,109,74,98,77,526,132,9,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,34,67,36,63,262,105,185,84,800,161,12,60,0,59,0,59,0,59,15,62,0,59,15,61,0,59,0,59,0,59,51,65,13,61,296,97,398,129,980,165,0,59,0,59,0,59,20,62,0,59,10,60,0,59,9,59,0,59,0,59,43,62,37,60,461,121,400,120,2058,253,0,59,0,59,15,61,13,60,0,59,21,65,0,59,0,59,22,60,0,59,133,79,74,68,794,167,986,190,2119,286,0,59,26,71,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,49,68,51,66,903,184,1090,208,10076,420,0,59,0,59,12,59,0,59,0,59,11,59,0,59,13,60,0,59,0,59,102,72,78,72,2608,279,7252,378
8,North,9074,354,259,102,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,15,46,39,50,180,92,25,44,502,141,0,43,0,43,0,43,12,45,0,43,0,43,0,43,0,43,0,43,21,53,41,53,83,92,261,94,84,61,704,183,0,43,0,43,0,43,12,44,0,43,0,43,0,43,0,43,0,43,0,43,138,105,70,65,360,133,124,64,875,176,0,43,0,43,0,43,12,45,0,43,0,43,0,43,0,43,0,43,0,43,153,86,106,75,429,122,175,89,1508,235,0,43,0,43,0,43,7,44,0,43,0,43,0,43,0,43,0,43,0,43,136,74,159,87,1032,203,174,71,1327,212,0,43,18,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,63,67,69,56,972,187,205,83,3899,309,0,43,0,43,0,43,15,46,25,48,0,43,15,46,0,43,0,43,0,43,42,52,96,69,2640,284,1066,162
9,Northwest,17569,559,474,166,54,82,15,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,36,58,46,72,216,120,107,81,548,143,0,54,0,54,14,55,0,54,0,54,0,54,0,54,0,54,0,54,0,54,22,57,57,76,328,109,127,78,1267,210,14,55,0,54,9,54,0,54,6,54,0,54,0,54,0,54,0,54,0,54,89,70,64,64,797,173,288,108,1663,273,32,62,0,54,0,54,0,54,15,54,0,54,0,54,0,54,0,54,97,118,246,129,213,100,854,180,206,91,2606,305,0,54,39,60,0,54,0,54,0,54,11,55,0,54,0,54,0,54,0,54,218,108,142,88,1609,247,587,162,2603,305,3,53,0,54,0,54,26,60,0,54,0,54,0,54,0,54,0,54,0,54,125,80,208,96,1562,238,679,162,8408,480,0,54,0,54,0,54,25,64,0,54,0,54,0,54,30,56,0,54,0,54,65,65,137,81,4579,408,3572,314
10,Ballard,11602,423,308,127,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,46,0,43,37,70,73,56,184,105,406,128,12,45,0,43,0,43,15,47,12,45,13,45,0,43,0,43,0,43,0,43,14,46,9,44,198,93,133,80,599,139,15,47,0,43,11,44,0,43,20,52,0,43,0,43,0,43,0,43,0,43,15,46,21,46,412,116,105,69,895,192,0,43,0,43,0,43,0,43,12,44,0,43,11,45,0,43,0,43,0,43,21,44,61,54,414,138,376,130,2040,267,0,43,0,43,0,43,0,43,0,43,13,45,0,43,0,43,0,43,0,43,39,73,105,65,1301,228,582,142,1908,287,0,43,0,43,16,48,0,43,0,43,0,43,0,43,0,43,0,43,0,43,48,60,64,60,1211,243,569,131,5446,355,6,43,0,43,0,43,0,43,0,43,15,47,0,43,0,43,9,44,0,43,11,45,93,64,2321,279,2991,276
