area_id,area_name,b25125001,b25125001_moe,b25125002,b25125002_moe,b25125003,b25125003_moe,b25125004,b25125004_moe,b25125005,b25125005_moe,b25125006,b25125006_moe,b25125007,b25125007_moe,b25125008,b25125008_moe,b25125009,b25125009_moe,b25125010,b25125010_moe,b25125011,b25125011_moe,b25125012,b25125012_moe,b25125013,b25125013_moe,b25125014,b25125014_moe,b25125015,b25125015_moe,b25125016,b25125016_moe,b25125017,b25125017_moe,b25125018,b25125018_moe,b25125019,b25125019_moe,b25125020,b25125020_moe,b25125021,b25125021_moe,b25125022,b25125022_moe,b25125023,b25125023_moe,b25125024,b25125024_moe,b25125025,b25125025_moe,b25125026,b25125026_moe,b25125027,b25125027_moe,b25125028,b25125028_moe,b25125029,b25125029_moe,b25125030,b25125030_moe,b25125031,b25125031_moe,b25125032,b25125032_moe,b25125033,b25125033_moe,b25125034,b25125034_moe,b25125035,b25125035_moe,b25125036,b25125036_moe,b25125037,b25125037_moe,b25125038,b25125038_moe,b25125039,b25125039_moe,b25125040,b25125040_moe,b25125041,b25125041_moe,b25125042,b25125042_moe,b25125043,b25125043_moe,b25125044,b25125044_moe,b25125045,b25125045_moe
1,Southwest,23226,383,14808,462,1387,252,1281,248,0,48,31,58,62,63,13,50,0,48,9801,423,9021,412,83,66,351,126,230,92,105,74,11,48,3620,250,3051,235,58,63,140,75,233,86,128,79,10,49,8418,488,3050,326,945,224,579,154,836,200,368,140,322,154,0,48,4286,426,1507,264,680,190,1174,234,696,199,218,125,11,48,1082,219,129,74,112,106,283,137,269,99,289,128,0,48
2,Delridge Neighborhoods,14850,356,7724,382,1291,235,1086,209,26,45,83,91,60,57,36,48,0,38,5193,347,4883,329,125,103,49,44,14,43,99,63,23,43,1240,142,1160,141,18,41,34,55,8,38,0,38,20,43,7126,444,2556,355,972,230,226,120,670,204,406,171,235,128,47,77,3559,396,1578,278,596,179,682,219,357,141,346,128,0,38,1011,206,82,52,45,50,219,137,130,73,535,133,0,38
3,Greater Duwamish,16086,331,8359,418,1101,229,1044,225,0,45,9,45,0,45,48,60,0,45,5499,378,5175,373,108,90,42,52,28,54,85,57,61,65,1759,200,1683,195,13,47,35,51,10,46,18,46,0,45,7727,450,2717,357,1189,248,694,200,620,193,139,92,75,62,0,45,3663,394,1783,285,659,214,733,213,324,178,164,104,0,45,1347,236,407,156,131,85,89,69,158,99,562,145,0,45
4,Southeast,17612,387,10861,427,839,198,839,198,0,45,0,45,0,45,0,45,0,45,7665,389,7550,392,63,57,0,45,39,71,0,45,13,48,2357,222,2258,218,9,44,24,48,8,44,41,52,17,49,6751,473,1817,339,632,207,335,168,329,173,190,133,300,160,31,50,4050,461,1423,286,644,219,870,256,399,154,664,184,50,61,884,187,148,78,50,56,148,90,170,112,368,112,0,45
5,Central,13921,329,6894,359,832,184,670,171,15,37,26,45,43,50,46,44,32,47,4744,334,3954,293,213,111,280,136,179,73,110,57,8,36,1318,164,1218,156,55,49,9,32,16,40,20,46,0,34,7027,395,3034,341,633,166,538,186,732,197,761,198,370,138,0,34,2768,346,810,188,502,142,622,197,417,135,417,133,0,34,1225,170,88,62,93,64,167,94,136,80,741,151,0,34
6,East,29701,474,8008,453,1272,237,219,99,29,54,256,126,393,135,375,139,0,47,4920,395,2585,235,38,55,884,247,690,188,723,175,0,47,1816,208,962,156,69,69,145,79,189,78,425,124,26,53,21693,578,11877,638,731,285,1133,260,2876,349,3860,442,3277,390,0,47,7636,567,619,183,503,171,2261,373,2298,354,1949,319,6,46,2180,275,49,56,115,86,195,86,444,162,1377,219,0,47
7,Northeast,30311,401,16806,426,1500,229,1183,212,20,60,63,69,77,70,144,87,13,61,11215,407,10467,388,53,72,255,108,190,88,173,82,77,74,4091,222,3621,220,79,78,95,75,127,77,88,68,81,82,13505,502,8913,481,1949,302,1105,247,2596,334,1927,297,1288,232,48,85,3657,405,1214,211,593,172,1038,235,430,155,330,134,52,77,935,179,235,93,53,66,146,94,165,106,336,145,0,59
8,North,19461,351,9074,354,1280,236,991,209,36,48,119,87,49,54,85,70,0,43,5837,312,5356,294,14,45,39,51,202,101,179,82,47,56,1957,204,1597,174,34,51,155,116,38,50,133,83,0,43,10387,449,4494,397,969,207,298,116,1199,285,871,195,1114,222,43,81,4316,434,961,217,617,219,1131,248,718,189,889,194,0,43,1577,251,166,85,24,51,262,105,245,105,880,193,0,43
9,Northwest,33168,437,17569,559,2741,345,1978,279,81,86,226,127,304,139,113,79,39,79,11679,470,10476,436,206,104,454,155,395,137,124,81,24,57,3149,254,2803,244,77,66,131,84,37,59,28,60,73,69,15599,594,7348,507,1882,304,1088,273,2005,350,1574,310,790,203,9,54,5774,494,2066,313,723,174,1479,269,763,191,726,200,17,57,2477,294,172,85,83,64,237,112,474,154,1511,248,0,54
10,Ballard,21236,330,11602,423,1504,238,1156,211,18,49,226,91,29,52,75,70,0,43,7897,371,7431,359,196,105,128,89,11,43,131,81,0,43,2201,200,1828,172,52,55,111,92,58,51,140,71,12,45,9634,493,4569,429,1118,246,967,226,1271,278,442,149,771,240,0,43,4191,415,1452,293,647,158,1198,227,629,195,265,155,0,43,874,175,116,76,103,72,204,109,208,104,243,122,0,43
11,Lake Union,24520,524,7184,387,1390,227,876,172,23,46,71,58,230,117,190,94,0,42,4737,330,3588,276,244,121,355,122,201,82,325,141,24,46,1057,133,723,118,30,51,68,53,115,62,121,73,0,42,17336,590,10343,571,1303,280,1086,258,2445,330,2078,322,3356,383,75,75,5997,485,847,202,791,208,1502,274,680,196,2164,317,13,43,996,187,58,56,89,60,163,90,79,65,607,150,0,42
