area_id,area_name,b27002001,b27002001_moe,b27002002,b27002002_moe,b27002003,b27002003_moe,b27002004,b27002004_moe,b27002005,b27002005_moe,b27002006,b27002006_moe,b27002007,b27002007_moe,b27002008,b27002008_moe,b27002009,b27002009_moe,b27002010,b27002010_moe,b27002011,b27002011_moe,b27002012,b27002012_moe,b27002013,b27002013_moe,b27002014,b27002014_moe,b27002015,b27002015_moe,b27002016,b27002016_moe,b27002017,b27002017_moe,b27002018,b27002018_moe,b27002019,b27002019_moe,b27002020,b27002020_moe,b27002021,b27002021_moe,b27002022,b27002022_moe,b27002023,b27002023_moe,b27002024,b27002024_moe,b27002025,b27002025_moe,b27002026,b27002026_moe,b27002027,b27002027_moe,b27002028,b27002028_moe,b27002029,b27002029_moe,b27002030,b27002030_moe,b27002031,b27002031_moe,b27002032,b27002032_moe,b27002033,b27002033_moe,b27002034,b27002034_moe,b27002035,b27002035_moe,b27002036,b27002036_moe,b27002037,b27002037_moe,b27002038,b27002038_moe,b27002039,b27002039_moe,b27002040,b27002040_moe,b27002041,b27002041_moe,b27002042,b27002042_moe,b27002043,b27002043_moe,b27002044,b27002044_moe,b27002045,b27002045_moe,b27002046,b27002046_moe,b27002047,b27002047_moe,b27002048,b27002048_moe,b27002049,b27002049_moe,b27002050,b27002050_moe,b27002051,b27002051_moe,b27002052,b27002052_moe,b27002053,b27002053_moe,b27002054,b27002054_moe,b27002055,b27002055_moe,b27002056,b27002056_moe,b27002057,b27002057_moe
1,Southwest,48549,1060,22534,749,1711,287,1575,279,136,84,2462,352,2225,323,237,132,633,158,477,141,156,73,3674,454,2825,402,849,235,4025,351,3470,346,555,177,4274,357,3719,336,555,186,3106,300,2742,275,364,136,1562,229,1196,197,366,132,1087,189,833,180,254,89,26015,813,1868,348,1741,341,127,98,3007,348,2650,332,357,149,1077,274,918,250,159,117,4138,433,3272,384,866,250,4321,342,4083,335,238,109,3915,337,3693,323,222,116,3920,357,3420,336,500,178,1909,246,1504,234,405,134,1860,228,1480,214,380,119
2,Delridge Neighborhoods,34224,1046,17099,744,1481,303,876,194,605,242,2341,306,1421,281,920,242,1489,343,908,279,581,206,3354,417,2552,369,802,215,3076,353,2202,293,874,222,2373,302,1698,239,675,188,1670,246,1201,222,469,139,878,162,484,109,394,128,437,127,268,98,169,96,17125,738,1286,253,921,197,365,164,1877,324,1010,232,867,251,1094,261,511,159,583,212,3561,425,2607,346,954,255,3134,358,2265,299,869,240,2434,263,1871,248,563,163,1901,296,1315,239,586,159,1146,196,511,124,635,178,692,148,481,123,211,89
3,Greater Duwamish,46942,1787,23664,1220,2126,422,970,282,1156,345,2991,426,1317,292,1674,358,2222,364,1087,257,1135,255,3945,518,2462,354,1483,376,3760,475,2426,355,1334,317,3618,435,2335,286,1283,301,2746,419,1660,290,1086,333,1254,242,500,148,754,202,1002,177,436,122,566,157,23278,1093,2013,382,1090,283,923,259,3648,581,1456,294,2192,554,1801,308,1113,246,688,205,3994,405,2358,319,1636,327,3317,410,2200,335,1117,301,2848,307,2311,276,537,162,2427,301,1705,269,722,168,1355,228,559,152,796,184,1875,256,924,207,951,198
4,Southeast,45465,1460,22041,1076,1956,340,1095,230,861,262,3427,549,1814,428,1613,428,1497,350,609,173,888,301,2595,440,1416,306,1179,349,4070,451,2509,346,1561,387,3381,403,2642,378,739,193,2815,316,2149,269,666,206,1375,224,690,150,685,178,925,166,610,131,315,106,23424,885,1557,299,871,208,686,228,3134,397,1880,314,1254,307,2019,357,1170,268,849,261,3025,422,2108,345,917,259,3820,391,2966,337,854,238,3545,379,2698,337,847,212,3315,333,2563,292,752,199,1728,250,950,198,778,188,1281,217,681,148,600,158
5,Central,29258,999,13968,737,1001,224,833,206,168,114,1066,258,729,195,337,184,1180,327,937,298,243,100,2873,452,2068,359,805,269,2658,315,2210,258,448,184,2251,292,1654,212,597,231,1573,250,1309,224,264,122,911,170,554,129,357,117,455,129,294,104,161,75,15290,746,1027,224,733,171,294,169,1413,255,1026,209,387,179,1426,298,997,227,429,177,3396,381,2843,353,553,174,2486,318,2079,259,407,186,1701,230,1441,208,260,110,1898,285,1534,216,364,164,1026,211,764,194,262,116,917,167,416,113,501,128
6,East,49404,1211,25214,953,833,205,611,187,222,112,1158,229,917,180,241,142,2999,455,2326,387,673,207,8020,737,6268,623,1752,403,4485,519,3683,441,802,304,3217,379,2277,312,940,239,2326,309,1810,274,516,158,1247,227,669,167,578,159,929,161,554,125,375,112,24190,909,936,266,579,180,357,199,967,200,775,156,192,135,4158,469,3442,420,716,215,7448,634,5999,568,1449,298,3156,396,2542,338,614,219,2288,310,1712,251,576,216,2223,318,1779,281,444,150,1596,248,994,200,602,173,1418,211,1149,201,269,98
7,Northeast,79116,1823,38417,1330,2125,283,1968,277,157,91,3483,325,3227,301,256,138,10545,1157,9292,1072,1253,319,6225,573,5270,543,955,231,4827,357,4251,333,576,183,4150,345,3552,312,598,193,3882,302,3486,286,396,119,1905,207,1484,187,421,131,1275,192,971,159,304,129,40699,1229,2144,269,1935,247,209,113,3691,342,3458,325,233,125,11553,1032,10341,986,1212,353,5879,518,5195,474,684,204,4600,334,4276,315,324,147,4541,345,4129,320,412,136,4061,314,3781,303,280,116,2113,231,1680,197,433,133,2117,322,1634,291,483,152
8,North,39862,1083,19904,821,1134,212,810,176,324,147,1987,286,1398,243,589,182,1895,388,1347,343,548,189,4617,547,3326,430,1291,377,2977,342,2383,288,594,190,2775,306,2135,245,640,183,2562,258,1926,205,636,173,976,200,628,166,348,131,981,186,670,157,311,121,19958,765,1440,254,969,198,471,172,1603,266,1209,225,394,142,1829,337,1163,258,666,209,3677,381,2850,344,827,225,3126,320,2564,279,562,186,2485,302,1910,255,575,176,2827,260,2345,241,482,149,1179,194,719,156,460,130,1792,245,1194,205,598,169
9,Northwest,69266,1459,33570,1026,2402,343,1842,253,560,230,3072,402,2355,320,717,273,2639,434,1999,394,640,184,7879,640,5969,569,1910,356,5780,419,5154,404,626,172,4783,399,3690,341,1093,253,3862,379,3012,319,850,222,1598,233,1113,205,485,135,1555,236,1150,210,405,141,35696,976,2208,372,1654,296,554,268,2819,342,2254,299,565,201,2912,492,2209,449,703,206,8146,662,6466,580,1680,360,5858,428,4999,386,859,230,4456,407,3594,350,862,236,4474,349,3744,313,730,189,1977,298,1414,250,563,165,2846,294,2152,269,694,156
10,Ballard,44326,1011,21960,755,1628,240,1553,236,75,55,2187,321,1833,270,354,177,1294,265,1027,228,267,121,5113,537,4105,492,1008,247,3867,345,3409,317,458,174,3076,302,2790,288,286,125,2877,308,2547,304,330,113,1117,204,726,181,391,107,801,142,632,128,169,81,22366,725,1494,252,1322,229,172,110,1874,292,1504,242,370,175,1382,372,1069,293,313,178,4953,452,4297,414,656,193,3645,311,3270,291,375,152,3386,344,3053,321,333,141,3076,273,2673,255,403,141,1271,189,954,172,317,107,1285,205,943,169,342,143
