area_id,area_name,b99121001,b99121001_moe,b99121002,b99121002_moe,b99121003,b99121003_moe
1,Southwest,41585,-1,945,-1,40640,-1
2,Delridge Neighborhoods,28536,-1,922,-1,27614,-1
3,Greater Duwamish,37863,-1,2206,-1,35657,-1
4,Southeast,37389,-1,1552,-1,35837,-1
5,Central,25677,-1,1166,-1,24511,-1
6,East,47883,-1,1488,-1,46395,-1
7,Northeast,69433,-1,2426,-1,67007,-1
8,North,34832,-1,1434,-1,33398,-1
9,Northwest,60550,-1,2084,-1,58466,-1
10,Ballard,38368,-1,1288,-1,37080,-1
11,Lake Union,40757,-1,1206,-1,39551,-1
12,Magnolia/Queen Anne,52372,-1,1500,-1,50872,-1
13,Downtown,16459,-1,773,-1,15686,-1
