area_id,area_name,c15002g001,c15002g001_moe,c15002g002,c15002g002_moe,c15002g003,c15002g003_moe,c15002g004,c15002g004_moe,c15002g005,c15002g005_moe,c15002g006,c15002g006_moe,c15002g007,c15002g007_moe,c15002g008,c15002g008_moe,c15002g009,c15002g009_moe,c15002g010,c15002g010_moe,c15002g011,c15002g011_moe
1,Southwest,999,227,434,140,15,46,81,69,113,87,225,109,565,160,0,48,25,53,195,94,345,125
2,Delridge Neighborhoods,815,208,347,119,12,38,64,59,161,81,110,77,468,160,18,42,58,58,177,114,215,106
3,Greater Duwamish,1102,267,540,160,80,72,111,74,79,58,270,127,562,176,106,84,109,84,233,120,114,72
4,Southeast,1283,297,384,122,8,45,63,51,214,100,99,63,899,249,105,88,92,89,284,139,418,156
5,Central,1025,329,390,157,22,34,10,36,151,74,207,136,635,242,20,39,22,47,241,129,352,174
6,East,1135,237,639,183,75,61,54,59,266,111,244,138,496,150,7,47,32,53,148,83,309,123
7,Northeast,1387,269,677,182,71,74,115,101,98,75,393,137,710,189,15,62,60,73,224,128,411,136
8,North,930,253,520,153,52,55,63,52,209,115,196,92,410,189,4,42,16,43,230,171,160,79
9,Northwest,1595,317,628,176,17,59,55,76,208,111,348,125,967,249,32,60,105,92,337,153,493,179
10,Ballard,1186,304,507,159,18,50,75,71,186,108,228,107,679,225,0,43,140,147,229,117,310,134
11,Lake Union,1256,285,465,178,32,55,0,42,108,73,325,160,791,225,0,42,40,63,149,82,602,203
12,Magnolia/Queen Anne,1489,342,711,242,0,51,26,55,176,103,509,226,778,229,0,51,74,102,252,141,452,156
13,Downtown,584,194,312,143,0,29,87,85,113,90,112,77,272,126,0,29,0,29,110,91,162,84
