area_id,area_name,c18120001,c18120001_moe,c18120002,c18120002_moe,c18120003,c18120003_moe,c18120004,c18120004_moe,c18120005,c18120005_moe,c18120006,c18120006_moe,c18120007,c18120007_moe,c18120008,c18120008_moe,c18120009,c18120009_moe,c18120010,c18120010_moe,c18120011,c18120011_moe
1,Southwest,33083,820,28158,816,26823,809,667,169,26156,809,1335,266,131,77,1204,257,4925,470,1030,270,3895,396
2,Delridge Neighborhoods,24086,825,19680,724,18055,678,603,181,17452,687,1625,323,184,113,1441,293,4406,496,1202,279,3204,400
3,Greater Duwamish,30678,1204,24745,1100,22756,1086,793,192,21963,1067,1989,361,136,74,1853,349,5933,593,1589,298,4344,485
4,Southeast,30082,1045,24167,1018,21604,919,916,251,20688,913,2563,451,208,119,2355,424,5915,566,1639,317,4276,489
5,Central,21442,798,17867,761,16763,738,676,189,16087,735,1104,289,75,73,1029,269,3575,440,927,241,2648,385
6,East,40320,1094,33757,1001,31861,955,1134,258,30727,978,1896,365,148,114,1748,353,6563,619,1333,276,5230,562
7,Northeast,60263,1735,44357,1394,41271,1253,1003,221,40268,1239,3086,482,203,114,2883,475,15906,1027,1211,273,14695,993
8,North,28770,889,23713,863,22149,862,920,195,21229,863,1564,273,247,123,1317,247,5057,526,1082,245,3975,457
9,Northwest,50789,1176,43422,1132,40496,1064,1111,270,39385,1065,2926,554,203,116,2723,540,7367,660,1675,318,5692,582
10,Ballard,32669,837,28658,900,26980,872,766,183,26214,880,1678,310,207,130,1471,278,4011,417,490,171,3521,378
11,Lake Union,37283,1241,31797,1164,30015,1156,995,240,29020,1140,1782,362,128,87,1654,353,5486,676,1239,298,4247,546
12,Magnolia/Queen Anne,44410,1223,37886,1130,35818,1142,1073,274,34745,1121,2068,336,202,106,1866,321,6524,599,1172,265,5352,520
13,Downtown,13542,708,10231,598,9447,600,391,148,9056,591,784,211,93,69,691,201,3311,510,1776,306,1535,417
