area_id,area_name,c21001e001,c21001e001_moe,c21001e002,c21001e002_moe,c21001e003,c21001e003_moe,c21001e004,c21001e004_moe,c21001e005,c21001e005_moe,c21001e006,c21001e006_moe,c21001e007,c21001e007_moe,c21001e008,c21001e008_moe,c21001e009,c21001e009_moe,c21001e010,c21001e010_moe,c21001e011,c21001e011_moe,c21001e012,c21001e012_moe,c21001e013,c21001e013_moe,c21001e014,c21001e014_moe,c21001e015,c21001e015_moe
1,Southwest,79,105,15,58,15,58,0,48,15,58,0,48,0,48,0,48,64,92,64,92,0,48,64,92,0,48,0,48,0,48
2,Delridge Neighborhoods,218,157,134,113,123,112,18,41,105,103,11,39,11,39,0,38,84,77,62,69,0,38,62,69,22,51,0,38,22,51
3,Greater Duwamish,390,237,198,140,189,137,0,45,189,137,9,47,0,45,9,47,192,135,161,110,23,55,138,105,31,68,0,45,31,68
4,Southeast,295,275,110,118,41,65,28,60,13,51,69,92,17,61,52,82,185,190,174,188,0,45,174,188,11,47,0,45,11,47
5,Central,9,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,36,9,36,0,34,9,36,0,34,0,34,0,34
6,East,64,67,47,63,47,63,14,52,33,56,0,47,0,47,0,47,17,52,17,52,0,47,17,52,0,47,0,47,0,47
7,Northeast,97,80,36,62,17,58,0,59,17,58,19,62,19,62,0,59,61,75,61,75,0,59,61,75,0,59,0,59,0,59
8,North,171,121,46,69,46,69,0,43,46,69,0,43,0,43,0,43,125,107,85,77,0,43,85,77,40,69,0,43,40,69
9,Northwest,244,154,109,90,109,90,0,54,109,90,0,54,0,54,0,54,135,110,135,110,0,54,135,110,0,54,0,54,0,54
10,Ballard,98,103,25,52,25,52,9,46,16,43,0,43,0,43,0,43,73,79,73,79,0,43,73,79,0,43,0,43,0,43
11,Lake Union,56,87,56,87,56,87,0,42,56,87,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,18,49,12,51,12,51,0,51,12,51,0,51,0,51,0,51,6,49,6,49,0,51,6,49,0,51,0,51,0,51
13,Downtown,17,39,17,39,17,39,0,29,17,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
