area_id,area_name,c23002e001,c23002e001_moe,c23002e002,c23002e002_moe,c23002e003,c23002e003_moe,c23002e004,c23002e004_moe,c23002e005,c23002e005_moe,c23002e006,c23002e006_moe,c23002e007,c23002e007_moe,c23002e008,c23002e008_moe,c23002e009,c23002e009_moe,c23002e010,c23002e010_moe,c23002e011,c23002e011_moe,c23002e012,c23002e012_moe,c23002e013,c23002e013_moe,c23002e014,c23002e014_moe,c23002e015,c23002e015_moe,c23002e016,c23002e016_moe,c23002e017,c23002e017_moe,c23002e018,c23002e018_moe,c23002e019,c23002e019_moe,c23002e020,c23002e020_moe,c23002e021,c23002e021_moe,c23002e022,c23002e022_moe,c23002e023,c23002e023_moe,c23002e024,c23002e024_moe,c23002e025,c23002e025_moe,c23002e026,c23002e026_moe,c23002e027,c23002e027_moe
1,Southwest,131,126,15,58,15,58,7,48,0,48,7,48,7,48,0,48,8,49,0,48,0,48,0,48,0,48,0,48,116,116,116,116,116,116,52,86,64,92,64,92,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,218,157,134,113,123,112,114,111,0,38,114,111,114,111,0,38,9,39,11,39,11,39,11,39,0,38,0,38,84,77,62,69,62,69,0,38,62,69,62,69,0,38,0,38,22,51,0,38,0,38,0,38,22,51
3,Greater Duwamish,401,242,198,140,189,137,159,123,0,45,159,123,115,104,44,81,30,55,9,47,9,47,9,47,0,45,0,45,203,138,172,114,161,110,0,45,161,110,91,93,70,72,11,47,31,68,0,45,0,45,0,45,31,68
4,Southeast,295,275,110,118,41,65,41,65,0,45,41,65,41,65,0,45,0,45,69,92,0,45,0,45,0,45,69,92,185,190,174,188,13,53,0,45,13,53,13,53,0,45,161,185,11,47,11,47,11,47,0,45,0,45
5,Central,9,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,36,9,36,0,34,0,34,0,34,0,34,0,34,9,36,0,34,0,34,0,34,0,34,0,34
6,East,64,67,47,63,47,63,12,50,0,47,12,50,12,50,0,47,35,59,0,47,0,47,0,47,0,47,0,47,17,52,17,52,17,52,0,47,17,52,17,52,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,97,80,36,62,17,58,17,58,0,59,17,58,17,58,0,59,0,59,19,62,0,59,0,59,0,59,19,62,61,75,61,75,55,76,0,59,55,76,55,76,0,59,6,58,0,59,0,59,0,59,0,59,0,59
8,North,226,169,76,83,76,83,76,83,30,63,46,69,46,69,0,43,0,43,0,43,0,43,0,43,0,43,0,43,150,134,110,94,71,76,0,43,71,76,37,54,34,69,39,55,40,69,0,43,0,43,0,43,40,69
9,Northwest,244,154,109,90,109,90,98,89,0,54,98,89,98,89,0,54,11,55,0,54,0,54,0,54,0,54,0,54,135,110,135,110,115,104,0,54,115,104,115,104,0,54,20,57,0,54,0,54,0,54,0,54,0,54
10,Ballard,121,137,37,65,37,65,25,52,0,43,25,52,25,52,0,43,12,47,0,43,0,43,0,43,0,43,0,43,84,94,84,94,44,71,0,43,44,71,44,71,0,43,40,57,0,43,0,43,0,43,0,43,0,43
11,Lake Union,56,87,56,87,56,87,56,87,0,42,56,87,56,87,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,18,49,12,51,12,51,12,51,0,51,12,51,12,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,6,49,6,49,5,50,0,51,5,50,5,50,0,51,1,50,0,51,0,51,0,51,0,51,0,51
13,Downtown,17,39,17,39,17,39,0,29,0,29,0,29,0,29,0,29,17,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
