area_id,area_name,c24010a001,c24010a001_moe,c24010a002,c24010a002_moe,c24010a003,c24010a003_moe,c24010a004,c24010a004_moe,c24010a005,c24010a005_moe,c24010a006,c24010a006_moe,c24010a007,c24010a007_moe,c24010a008,c24010a008_moe,c24010a009,c24010a009_moe,c24010a010,c24010a010_moe,c24010a011,c24010a011_moe,c24010a012,c24010a012_moe,c24010a013,c24010a013_moe
1,Southwest,25022,845,12380,556,6941,469,946,217,2438,348,1015,221,1040,233,12642,573,7938,488,1634,311,2783,366,16,51,271,103
2,Delridge Neighborhoods,12327,682,6617,495,2937,317,908,285,1228,250,685,178,859,226,5710,422,3028,306,861,186,1527,279,45,45,249,112
3,Greater Duwamish,8468,745,4996,577,2056,288,826,252,843,207,560,194,711,237,3472,359,1965,279,671,181,619,159,115,68,102,86
4,Southeast,10431,710,5112,507,2946,306,623,209,605,164,580,294,358,150,5319,426,3773,343,621,173,807,195,44,58,74,55
5,Central,12064,663,6148,459,4151,328,618,190,802,211,334,130,243,116,5916,470,3598,371,906,217,1238,226,40,56,134,110
6,East,27152,1022,14830,820,9155,685,2088,403,2517,450,502,206,568,184,12322,738,6895,552,1909,320,3300,475,20,50,198,106
7,Northeast,34882,1184,17894,855,10819,579,1921,355,3415,436,947,242,792,207,16988,799,9867,530,2837,400,3985,440,65,65,234,97
8,North,16456,709,8546,467,4657,378,950,209,1594,269,760,199,585,191,7910,499,4235,364,1315,274,2162,323,0,43,198,103
9,Northwest,32990,982,17290,707,10303,607,1851,307,2477,348,1321,277,1338,247,15700,677,9437,595,1882,304,3645,400,137,86,599,206
10,Ballard,24868,858,13097,585,7585,507,1340,302,2150,354,1085,252,937,213,11771,615,6950,469,1619,304,2846,367,30,50,326,133
11,Lake Union,24924,1039,13227,699,7760,537,1148,237,2718,420,786,249,815,238,11697,767,7677,541,1608,368,2026,312,65,57,321,146
12,Magnolia/Queen Anne,31373,1099,16056,895,10215,630,1646,394,2663,356,759,261,773,211,15317,871,9197,576,2373,550,3406,419,123,121,218,108
13,Downtown,6810,520,3953,413,2851,374,286,111,496,171,69,59,251,95,2857,373,1908,303,223,98,589,194,24,46,113,73
