area_id,area_name,c24010c001,c24010c001_moe,c24010c002,c24010c002_moe,c24010c003,c24010c003_moe,c24010c004,c24010c004_moe,c24010c005,c24010c005_moe,c24010c006,c24010c006_moe,c24010c007,c24010c007_moe,c24010c008,c24010c008_moe,c24010c009,c24010c009_moe,c24010c010,c24010c010_moe,c24010c011,c24010c011_moe,c24010c012,c24010c012_moe,c24010c013,c24010c013_moe
1,Southwest,218,116,119,96,14,51,8,47,2,46,21,55,74,88,99,78,38,51,46,60,0,48,0,48,15,51
2,Delridge Neighborhoods,119,79,48,55,21,50,0,38,0,38,27,45,0,38,71,67,0,38,18,47,53,60,0,38,0,38
3,Greater Duwamish,230,130,110,71,49,56,13,46,28,57,0,45,20,51,120,104,60,72,14,49,46,77,0,45,0,45
4,Southeast,157,126,131,123,15,49,60,74,0,45,45,68,11,46,26,52,11,47,15,50,0,45,0,45,0,45
5,Central,92,64,32,48,13,39,0,34,19,44,0,34,0,34,60,54,28,51,13,36,19,36,0,34,0,34
6,East,423,193,183,121,105,105,30,66,31,55,17,51,0,47,240,127,101,86,29,51,109,99,1,45,0,47
7,Northeast,200,106,116,82,26,59,39,65,29,69,22,66,0,59,84,69,69,67,15,62,0,59,0,59,0,59
8,North,190,131,68,70,24,43,11,44,0,43,0,43,33,68,122,86,0,43,41,52,75,78,0,43,6,43
9,Northwest,316,149,133,94,23,57,71,84,16,57,23,57,0,54,183,114,47,65,64,79,55,69,0,54,17,59
10,Ballard,68,61,40,52,20,45,0,43,20,50,0,43,0,43,28,50,14,46,14,48,0,43,0,43,0,43
11,Lake Union,187,111,141,103,32,51,47,67,43,79,0,42,19,49,46,45,35,43,0,42,11,44,0,42,0,42
12,Magnolia/Queen Anne,257,135,98,75,71,73,10,51,17,50,0,51,0,51,159,106,135,103,0,51,11,51,0,51,13,53
13,Downtown,83,86,71,85,0,29,46,76,25,48,0,29,0,29,12,33,0,29,0,29,12,33,0,29,0,29
