area_id,area_name,c24010e001,c24010e001_moe,c24010e002,c24010e002_moe,c24010e003,c24010e003_moe,c24010e004,c24010e004_moe,c24010e005,c24010e005_moe,c24010e006,c24010e006_moe,c24010e007,c24010e007_moe,c24010e008,c24010e008_moe,c24010e009,c24010e009_moe,c24010e010,c24010e010_moe,c24010e011,c24010e011_moe,c24010e012,c24010e012_moe,c24010e013,c24010e013_moe
1,Southwest,71,96,7,48,0,48,0,48,7,48,0,48,0,48,64,92,57,92,0,48,0,48,7,48,0,48
2,Delridge Neighborhoods,187,149,125,113,22,45,8,39,18,54,66,91,11,39,62,69,9,39,11,42,31,47,0,38,11,40
3,Greater Duwamish,215,163,124,105,0,45,53,67,9,47,0,45,62,71,91,93,24,55,23,58,44,63,0,45,0,45
4,Southeast,65,87,41,65,28,60,0,45,0,45,0,45,13,51,24,55,11,47,0,45,13,53,0,45,0,45
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,29,56,12,50,0,47,12,50,0,47,0,47,0,47,17,52,0,47,17,52,0,47,0,47,0,47
7,Northeast,72,78,17,58,0,59,4,57,0,59,13,60,0,59,55,76,0,59,18,60,37,75,0,59,0,59
8,North,83,76,46,69,11,44,0,43,35,69,0,43,0,43,37,54,0,43,37,54,0,43,0,43,0,43
9,Northwest,213,135,98,89,0,54,22,58,8,53,0,54,68,73,115,104,72,102,32,60,11,54,0,54,0,54
10,Ballard,69,96,25,52,19,46,0,43,6,43,0,43,0,43,44,71,9,46,21,57,14,45,0,43,0,43
11,Lake Union,56,87,56,87,0,42,0,42,56,87,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,17,50,12,51,0,51,0,51,0,51,12,51,0,51,5,50,0,51,0,51,5,50,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
