area_id,area_name,c27001a001,c27001a001_moe,c27001a002,c27001a002_moe,c27001a003,c27001a003_moe,c27001a004,c27001a004_moe,c27001a005,c27001a005_moe,c27001a006,c27001a006_moe,c27001a007,c27001a007_moe,c27001a008,c27001a008_moe,c27001a009,c27001a009_moe,c27001a010,c27001a010_moe
1,Southwest,42393,1104,7162,555,6860,556,302,189,29180,838,26384,841,2796,474,6051,366,6049,366,2,47
2,Delridge Neighborhoods,20575,1088,3023,508,2876,483,147,106,15421,854,12711,717,2710,523,2131,266,2131,266,0,38
3,Greater Duwamish,13824,1091,2284,504,2140,502,144,107,10444,819,7995,616,2449,509,1096,237,1096,237,0,45
4,Southeast,18614,1088,3469,444,3319,437,150,120,13306,862,11359,680,1947,551,1839,293,1823,294,16,56
5,Central,17718,825,2311,326,2311,326,0,34,13900,687,12289,631,1611,370,1507,227,1490,225,17,42
6,East,38552,1306,2532,357,2528,357,4,45,31838,1182,27129,1085,4709,641,4182,356,4136,353,46,62
7,Northeast,61034,1691,8708,497,8645,491,63,86,45827,1560,42185,1514,3642,509,6499,384,6485,384,14,61
8,North,28539,1040,4161,454,3947,430,214,130,20335,777,17323,682,3012,487,4043,339,4003,340,40,60
9,Northwest,53751,1360,7316,527,7062,519,254,140,39581,1115,34484,1066,5097,626,6854,454,6835,454,19,55
10,Ballard,38971,1010,5925,488,5583,440,342,216,28893,815,25844,740,3049,523,4153,285,4153,285,0,43
11,Lake Union,35040,1214,2908,256,2854,261,54,76,29582,1126,25545,955,4037,639,2550,269,2531,265,19,50
12,Magnolia/Queen Anne,49530,1385,6585,533,6464,522,121,121,36969,1174,33980,1147,2989,477,5976,367,5972,366,4,49
13,Downtown,10349,628,221,74,221,74,0,29,8750,592,7732,544,1018,253,1378,249,1378,249,0,29
