area_id,area_name,c27001b001,c27001b001_moe,c27001b002,c27001b002_moe,c27001b003,c27001b003_moe,c27001b004,c27001b004_moe,c27001b005,c27001b005_moe,c27001b006,c27001b006_moe,c27001b007,c27001b007_moe,c27001b008,c27001b008_moe,c27001b009,c27001b009_moe,c27001b010,c27001b010_moe
1,Southwest,873,267,85,76,47,68,38,60,788,245,521,210,267,127,0,48,0,48,0,48
2,Delridge Neighborhoods,4688,686,1582,369,1446,356,136,99,2852,468,2069,388,783,210,254,124,254,124,0,38
3,Greater Duwamish,8534,1267,3237,948,2917,906,320,230,4572,604,3435,505,1137,292,725,207,716,206,9,45
4,Southeast,11606,1199,2943,632,2501,593,442,290,7114,783,5103,633,2011,513,1549,260,1549,260,0,45
5,Central,6441,892,1231,363,1116,345,115,120,4042,677,3040,555,1002,350,1168,208,1168,208,0,34
6,East,3241,601,744,279,719,276,25,59,2108,399,1693,350,415,178,389,149,389,149,0,47
7,Northeast,1753,409,308,163,308,163,0,59,1252,333,1114,312,138,97,193,124,193,124,0,59
8,North,1949,494,413,206,413,206,0,43,1427,372,899,294,528,214,109,85,109,85,0,43
9,Northwest,2745,652,577,285,442,251,135,145,2083,469,1708,416,375,189,85,90,85,90,0,54
10,Ballard,327,194,104,98,104,98,0,43,209,125,206,124,3,42,14,46,14,46,0,43
11,Lake Union,1291,379,208,177,208,177,0,42,1015,258,833,236,182,102,68,59,47,54,21,48
12,Magnolia/Queen Anne,1497,540,212,189,212,189,0,51,1241,421,1029,391,212,123,44,53,44,53,0,51
13,Downtown,1821,580,344,359,344,359,0,29,1416,351,1152,329,264,131,61,54,61,54,0,29
