area_id,area_name,c27001d001,c27001d001_moe,c27001d002,c27001d002_moe,c27001d003,c27001d003_moe,c27001d004,c27001d004_moe,c27001d005,c27001d005_moe,c27001d006,c27001d006_moe,c27001d007,c27001d007_moe,c27001d008,c27001d008_moe,c27001d009,c27001d009_moe,c27001d010,c27001d010_moe
1,Southwest,2271,363,382,147,346,141,36,60,1588,277,1485,263,103,104,301,121,301,121,0,48
2,Delridge Neighborhoods,5546,689,1214,298,1118,289,96,109,3668,483,3343,464,325,136,664,183,650,180,14,42
3,Greater Duwamish,20718,1408,4068,534,3764,484,304,212,13240,1030,10228,813,3012,615,3410,342,3369,337,41,63
4,Southeast,11360,982,2174,413,2040,400,134,97,7530,698,5917,579,1613,408,1656,263,1642,261,14,46
5,Central,2800,417,245,112,245,112,0,34,2025,341,1860,324,165,100,530,124,530,124,0,34
6,East,4534,578,222,127,198,123,24,53,3740,487,3298,445,442,237,572,176,537,156,35,99
7,Northeast,10993,974,862,205,836,204,26,70,9554,907,8649,846,905,259,577,164,551,163,26,63
8,North,5915,715,644,217,604,215,40,62,4627,584,3839,511,788,223,644,166,588,165,56,88
9,Northwest,6767,654,669,181,590,171,79,90,5276,540,4386,508,890,251,822,185,771,182,51,66
10,Ballard,2121,363,165,86,129,69,36,66,1727,307,1505,291,222,115,229,108,172,93,57,67
11,Lake Union,4565,649,130,87,130,87,0,42,4190,622,3691,596,499,215,245,103,245,103,0,42
12,Magnolia/Queen Anne,4229,545,447,197,399,184,48,88,3386,497,3197,484,189,108,396,170,396,170,0,51
13,Downtown,3662,529,326,227,309,226,17,33,2302,404,1855,384,447,145,1034,211,1025,212,9,30
