area_id,area_name,c27001e001,c27001e001_moe,c27001e002,c27001e002_moe,c27001e003,c27001e003_moe,c27001e004,c27001e004_moe,c27001e005,c27001e005_moe,c27001e006,c27001e006_moe,c27001e007,c27001e007_moe,c27001e008,c27001e008_moe,c27001e009,c27001e009_moe,c27001e010,c27001e010_moe
1,Southwest,79,105,0,48,0,48,0,48,79,105,79,105,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,275,182,57,62,50,62,7,38,185,152,166,135,19,41,33,52,33,52,0,38
3,Greater Duwamish,497,307,107,144,107,144,0,45,350,221,274,192,76,86,40,69,40,69,0,45
4,Southeast,353,356,58,150,58,150,0,45,215,232,173,176,42,78,80,93,80,93,0,45
5,Central,9,36,0,34,0,34,0,34,9,36,9,36,0,34,0,34,0,34,0,34
6,East,43,61,0,47,0,47,0,47,43,61,26,55,17,52,0,47,0,47,0,47
7,Northeast,105,80,8,59,8,59,0,59,78,77,59,69,19,66,19,62,19,62,0,59
8,North,217,170,46,78,46,78,0,43,131,96,113,94,18,47,40,69,40,69,0,43
9,Northwest,314,178,70,78,70,78,0,54,244,154,189,129,55,71,0,54,0,54,0,54
10,Ballard,112,135,23,57,12,47,11,46,89,101,79,85,10,46,0,43,0,43,0,43
11,Lake Union,70,92,14,52,14,52,0,42,56,87,0,42,56,87,0,42,0,42,0,42
12,Magnolia/Queen Anne,32,60,14,53,14,53,0,51,18,49,13,50,5,50,0,51,0,51,0,51
13,Downtown,1,27,1,27,1,27,0,29,0,29,0,29,0,29,0,29,0,29,0,29
