area_id,area_name,c27001i001,c27001i001_moe,c27001i002,c27001i002_moe,c27001i003,c27001i003_moe,c27001i004,c27001i004_moe,c27001i005,c27001i005_moe,c27001i006,c27001i006_moe,c27001i007,c27001i007_moe,c27001i008,c27001i008_moe,c27001i009,c27001i009_moe,c27001i010,c27001i010_moe
1,Southwest,2198,541,660,272,549,229,111,155,1465,371,1130,300,335,184,73,67,73,67,0,48
2,Delridge Neighborhoods,4486,781,1268,372,1150,351,118,87,3068,597,1764,390,1304,444,150,89,124,80,26,54
3,Greater Duwamish,4650,943,1654,453,1426,441,228,172,2854,658,1130,325,1724,527,142,105,142,105,0,45
4,Southeast,3704,869,1129,400,1007,394,122,119,2459,601,1367,372,1092,465,116,86,116,86,0,45
5,Central,1600,403,387,171,367,168,20,47,1191,296,790,186,401,210,22,47,22,47,0,34
6,East,2991,587,298,187,298,187,0,47,2637,473,1884,343,753,274,56,69,56,69,0,47
7,Northeast,2748,464,512,164,512,164,0,59,2207,399,1850,376,357,142,29,69,29,69,0,59
8,North,2984,626,697,243,556,201,141,113,2204,455,1220,320,984,362,83,104,83,104,0,43
9,Northwest,4360,801,1083,327,955,299,128,145,3043,536,2008,361,1035,367,234,114,222,112,12,56
10,Ballard,2190,491,475,199,340,136,135,143,1671,374,1217,299,454,242,44,54,44,54,0,43
11,Lake Union,2189,375,374,169,354,166,20,50,1731,307,1360,271,371,154,84,79,84,79,0,42
12,Magnolia/Queen Anne,2557,506,432,179,405,173,27,66,2014,429,1677,393,337,153,111,86,111,86,0,51
13,Downtown,682,240,8,31,8,31,0,29,645,237,375,164,270,178,29,43,29,43,0,29
