GEOID10,TRBL_10,TRBL_STR_10,TRACT_10,BLOCK_10,BG,TRBG_10,WATER,URBAN_VILLAGE_NUMBER,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,CRA_NO,CRA_NAME,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330069001009,6900.1009,6900.1009,6900,1009,1,6900.1,0,0,Outside Villages,Outside Villages,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330116003013,11600.3013,11600.3013,11600,3013,3,11600.3,0,0,Outside Villages,Outside Villages,1.2,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330116005021,11600.5021,11600.5021,11600,5021,5,11600.5,0,0,Outside Villages,Outside Villages,1.2,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330120003019,12000.3019,12000.3019,12000,3019,3,12000.3,0,0,Outside Villages,Outside Villages,1.1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330115002007,11500.2007,11500.2007,11500,2007,2,11500.2,0,0,Outside Villages,Outside Villages,2.4,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330115002009,11500.2009,11500.2009,11500,2009,2,11500.2,0,0,Outside Villages,Outside Villages,2.4,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330120002009,12000.2009,12000.2009,12000,2009,2,12000.2,0,0,Outside Villages,Outside Villages,1.1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330121002005,12100.2005,12100.2005,12100,2005,2,12100.2,0,0,Outside Villages,Outside Villages,1.1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330120002020,12000.202,12000.2020,12000,2020,2,12000.2,0,0,Outside Villages,Outside Villages,1.1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
530330121002014,12100.2014,12100.2014,12100,2014,2,12100.2,0,0,Outside Villages,Outside Villages,1.1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest
